cost,outcome,patexp,discharge,income,city,zip,state,provider,providerid,color
0.035468995,0.309455587,0.122636103,0.620630372,0.875644699,Plymouth,2360,MA,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,28,#00CED1
0.036700105,0.395988539,0.122636103,0.025787966,0.357593123,Oneonta,13820,NY,AURELIA OSBORN FOX MEMORIAL HOSPITAL,29,#00CED1
0.037196582,0.51747851,0.574212034,0.443553009,0.664183381,Torrington,6790,CT,CHARLOTTE HUNGERFORD HOSPITAL,30,#00CED1
0.037421005,0.676217765,0.226361032,0.594269341,0.429799427,Canton,44708,OH,MERCY MEDICAL CENTER,31,#00CED1
0.039034964,0.254441261,0.870487106,0.049856734,0.538108883,Saint Marys,15857,PA,PENN HIGHLANDS ELK,32,#00CED1
0.040710588,0.9747851,0.412034384,0.90487106,0.738108883,Saint Louis Park,55426,MN,PARK NICOLLET METHODIST HOSPITAL,33,#00CED1
0.041356393,0.12034384,0.574212034,0.238968481,0.541547278,Lewisburg,17837,PA,EVANGELICAL COMMUNITY HOSPITAL,34,#00CED1
0.042181433,0.477363897,0.506017192,0.769054441,0.421776504,Pittsfield,1201,MA,BERKSHIRE MEDICAL CENTER INC,35,#00CED1
0.042256389,0.395988539,0.251575931,0.574212034,0.739255014,Falmouth,2540,MA,FALMOUTH HOSPITAL,36,#00CED1
0.04391801,0.875071633,0.534097421,0.134097421,0.208022923,East Liverpool,43920,OH,EAST LIVERPOOL CITY HOSPITAL,37,#00CED1
0.044328809,0.772492837,0.732378223,0.063610315,0.15530086,Mount Airy,27030,NC,NORTHERN HOSPITAL OF SURRY COUNTY,38,#00CED1
0.046054443,0.241833811,0.55243553,0.410888252,0.100859599,Fall River,2721,MA,SAINT ANNE'S HOSPITAL,39,#00CED1
0.046376241,0.986819484,0.455014327,0.213180516,0.29512894,Weirton,26062,WV,WEIRTON MEDICAL CENTER,40,#00CED1
0.046532137,0.592550143,0.386819484,0.609169054,0.030945559,Worcester,1608,MA,ST VINCENT HOSPITAL,41,#00CED1
0.046680096,0.848137536,0.712320917,0.203438395,0.374212034,Indiana,15701,PA,INDIANA REGIONAL MEDICAL CENTER,42,#00CED1
0.047096367,0.747277937,0.344412607,0.245272206,0.483094556,Port Angeles,98362,WA,OLYMPIC MEDICAL CENTER,43,#00CED1
0.047939284,0.898567335,0.318051576,0.670487106,0.931805158,Framingham,1701,MA,METROWEST MEDICAL CENTER,44,#00CED1
0.051039581,0.395988539,0.056160458,0.118051576,0.502578797,Boston,2124,MA,CARNEY HOSPITAL,45,#00CED1
0.05132012,0.12034384,0.344412607,0.414326648,0.328366762,Newark,43055,OH,LICKING MEMORIAL HOSPITAL,46,#00CED1
0.05153,0.099140401,0.016618911,0.114040115,0.463610315,Yonkers,10701,NY,ST JOSEPH'S MEDICAL CENTER,47,#00CED1
0.052385218,0.848137536,0.293409742,0.280229226,0.246418338,Beckley,25801,WV,BECKLEY ARH HOSPITAL,48,#00CED1
0.05254029,0.747277937,0.791404011,0.642979943,0.251575931,Decatur,35601,AL,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,49,#00CED1
0.053998817,0.875071633,0.746704871,0.165616046,0.069340974,Ronceverte,24970,WV,GREENBRIER VALLEY MEDICAL CENTER,50,#00CED1
0.054057263,0.469340974,0.534097421,0.132378223,0.191404011,Clinton,28328,NC,SAMPSON REGIONAL MEDICAL CENTER,51,#00CED1
0.054264811,0.309455587,0.589111748,0.803438395,0.547277937,Elizabethtown,42701,KY,HARDIN MEMORIAL HOSPITAL,52,#00CED1
0.055303874,0.148997135,0.746704871,0.067621777,0.479083095,Gardner,1440,MA,HEYWOOD HOSPITAL,53,#00CED1
0.055384736,0.350716332,0.20286533,0.182808023,0.640114613,New Castle,16105,PA,JAMESON MEMORIAL HOSPITAL,54,#00CED1
0.05576093,0.181088825,0.64469914,0.257879656,0.211461318,Farmville,23901,VA,"SOUTHSIDE COMMUNITY HOSPITAL, INC",55,#00CED1
0.056229079,0.26991404,0.024068768,0.870487106,0.121489971,Vero Beach,32960,FL,INDIAN RIVER MEDICAL CENTER,56,#00CED1
0.056260978,0.505444126,0.226361032,0.252148997,0.654441261,Rochester,14626,NY,UNITY HOSPITAL OF ROCHESTER,57,#00CED1
0.056482381,0.298567335,0.699140401,0.678510029,0.173065903,Grand Rapids,49503,MI,SAINT MARY'S HEALTH CARE,58,#00CED1
0.058985857,0.772492837,0.574212034,0.452722063,0.264756447,Princeton,24740,WV,PRINCETON COMMUNITY HOSPITAL,59,#00CED1
0.05979651,0.26991404,0.712320917,0.530659026,0.450429799,Lancaster,43130,OH,FAIRFIELD MEDICAL CENTER,60,#00CED1
0.059823998,0.298567335,0.608022923,0.339255014,0.041260745,Bronx,10457,NY,BRONX-LEBANON HOSPITAL CENTER,61,#00CED1
0.061023133,0.561604585,0.891690544,0.03495702,0.899140401,Andover,67002,KS,KANSAS MEDICAL CENTER LLC,62,#00CED1
0.06190629,0.016045845,0.913467049,0.435530086,0.470487106,Morehead City,28557,NC,CARTERET GENERAL HOSPITAL,63,#00CED1
0.063013817,0.395988539,0.944412607,0.095702006,0.39713467,Grayling,49738,MI,MUNSON HEALTHCARE GRAYLING HOSPITAL,64,#00CED1
0.063305878,0.676217765,0.534097421,0.346704871,0.598853868,Washington,15301,PA,"WASHINGTON HOSPITAL, THE",65,#00CED1
0.063922693,0.955873926,0.412034384,0.07277937,0.586819484,Bozeman,59715,MT,BOZEMAN DEACONESS HOSPITAL,66,#00CED1
0.064299447,0.038968481,0.506017192,0.5747851,0.594842407,Garden City,48135,MI,GARDEN CITY HOSPITAL,67,#00CED1
0.064739628,0.364469914,0.386819484,0.635530086,0.200573066,Binghamton,13905,NY,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",68,#00CED1
0.064808281,0.395988539,0.856160458,0.841833811,0.088252149,Cookeville,38501,TN,COOKEVILLE REGIONAL MEDICAL CENTER,69,#00CED1
0.065383521,0.800573066,0.975931232,0.305444126,0.361031519,Dubois,15801,PA,PENN HIGHLANDS DUBOIS,70,#00CED1
0.065387127,0.309455587,0.82234957,0.979942693,0.100286533,Lynchburg,24501,VA,"CENTRA  HEALTH, INC",71,#00CED1
0.065834925,0.221203438,0.732378223,0.430945559,0.778223496,Attleboro,2703,MA,STURDY MEMORIAL HOSPITAL,72,#00CED1
0.066168666,0.350716332,0.856160458,0.063037249,0.27277937,Cambridge,43725,OH,SOUTHEASTERN OHIO REGIONAL MEDICAL CENTER,73,#00CED1
0.066592125,0.753581662,0.589111748,0.924928367,0.32034384,Hyannis,2601,MA,CAPE COD HOSPITAL,74,#00CED1
0.06684578,0.26991404,0.140401146,0.404011461,0.489398281,Brighton,2135,MA,ST ELIZABETH'S MEDICAL CENTER,75,#00CED1
0.067168402,0.254441261,0.958166189,0.02234957,0.433237822,Marianna ,32446,FL,JACKSON HOSPITAL,76,#00CED1
0.067537249,0.997707736,0.64469914,0.32722063,0.984527221,Milton,2186,MA,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,77,#00CED1
0.067985597,0.547851003,0.900859599,0.185100287,0.214899713,Scottsboro,35768,AL,HIGHLANDS MEDICAL CENTER,78,#00CED1
0.068894238,0.979942693,0.928366762,0.240114613,0.235530086,Bennington,5201,VT,SOUTHWESTERN VERMONT MEDICAL CENTER,79,#00CED1
0.068942778,0.181088825,0.900859599,0.06991404,0.302578797,Washington,27889,NC,VIDANT BEAUFORT HOSPITAL,80,#00CED1
0.070477275,0.592550143,0.506017192,0.081375358,0.140401146,Mount Pleasant,48858,MI,MCLAREN CENTRAL MICHIGAN,81,#00CED1
0.070961049,0.772492837,0.967908309,0.659025788,0.333524355,Boaz,35957,AL,MARSHALL MEDICAL CENTER SOUTH,82,#00CED1
0.071052661,0.469340974,0.944412607,0.016045845,0.462464183,Fletcher,28732,NC,PARK RIDGE HEALTH,83,#00CED1
0.071289404,0.254441261,0.55243553,0.111747851,0.324928367,Honesdale,18431,PA,WAYNE MEMORIAL HOSPITAL,84,#00CED1
0.073584376,0.640687679,0.068194842,0.916332378,0.628653295,Clinton Township,48038,MI,HENRY FORD MACOMB HOSPITAL,85,#00CED1
0.074065796,0.547851003,0.934097421,0.128939828,0.329512894,Cadillac,49601,MI,MUNSON HEALTHCARE CADILLAC HOSPITAL,86,#00CED1
0.074404442,0.241833811,0.833237822,0.058452722,0.477936963,Putnam,6260,CT,DAY KIMBALL HOSPITAL,87,#00CED1
0.074553356,0.221203438,0.226361032,0.794269341,0.657879656,Farmington Hills,48336,MI,BOTSFORD HOSPITAL,88,#00CED1
0.075028177,0.712893983,0.881375358,0.689971347,0.224641834,Mountain Home,72653,AR,BAXTER REGIONAL MEDICAL CENTER,89,#00CED1
0.075416982,0.181088825,0.271060172,0.426361032,0.438395415,Marquette,49855,MI,MARQUETTE GENERAL HOSPITAL,90,#00CED1
0.076383231,0.13008596,0.036103152,0.861891117,0.585100287,Wyandotte,48192,MI,HENRY FORD WYANDOTTE HOSPITAL,91,#00CED1
0.076615074,0.021203438,0.625787966,0.573065903,0.097421203,Steubenville,43952,OH,TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST,92,#00CED1
0.078520153,0.085386819,0.806876791,0.842406877,0.760458453,St. Joseph,49085,MI,"LAKELAND HOSPITAL, ST JOSEPH",93,#00CED1
0.079307515,0.772492837,0.699140401,0.300286533,0.289971347,Glasgow,42141,KY,T J SAMSON COMMUNITY HOSPITAL,94,#00CED1
0.080667551,0.395988539,0.900859599,0.198853868,0.224068768,Shawnee,74801,OK,ST ANTHONY SHAWNEE HOSPITAL,95,#00CED1
0.080926243,0.469340974,0.024068768,0.133524355,0.060744986,Bronx,10451,NY,LINCOLN MEDICAL & MENTAL HEALTH CENTER,96,#00CED1
0.081036909,0.898567335,0.386819484,0.912320917,0.846418338,Livonia,48154,MI,ST MARY MERCY HOSPITAL,97,#00CED1
0.082733377,0.93008596,0.806876791,0,0.421203438,Sulphur Springs,75482,TX,HOPKINS COUNTY MEMORIAL HOSPITAL,98,#00CED1
0.083912353,0.74269341,0.226361032,0.11747851,0.621203438,Corning,14830,NY,CORNING HOSPITAL,99,#00CED1
0.08438688,0.915186246,0.506017192,0.420630372,0.853868195,Cambridge,2139,MA,CAMBRIDGE HEALTH ALLIANCE,100,#00CED1
0.08455953,0.12034384,0.856160458,0.088252149,0.591404011,Weston,54476,WI,ST CLARES HOSPITAL OF WESTON,101,#00CED1
0.084813647,0.944412607,0.944412607,0.255014327,0.325501433,Bangor,4401,ME,ST JOSEPH HOSPITAL,102,#00CED1
0.085089476,0.350716332,0.589111748,0.192550143,0.158166189,Eden,27288,NC,MOREHEAD MEMORIAL HOSPITAL,103,#00CED1
0.085384778,0.085386819,0.056160458,0.834383954,0.219484241,Mount Clemens,48043,MI,MCLAREN MACOMB,104,#00CED1
0.085718239,0.875071633,0.534097421,0.108309456,0.539255014,Nassawadox,23413,VA,RIVERSIDE SHORE MEMORIAL HOSPITAL,105,#00CED1
0.087912339,0.547851003,0.9747851,0.039541547,0.166189112,Greeneville,37745,TN,"LAUGHLIN MEMORIAL HOSPITAL, INC",106,#00CED1
0.087950033,0.884813754,0.900859599,0.569054441,0.811461318,Milford,1757,MA,MILFORD REGIONAL MEDICAL CENTER,107,#00CED1
0.088271719,0.858452722,0.625787966,0.80286533,0.375931232,Harrisonburg,22801,VA,SENTARA RMH MEDICAL CENTER,108,#00CED1
0.088499252,0.477363897,0.036103152,0.39713467,0.711747851,Minot,58701,ND,TRINITY HOSPITALS,109,#00CED1
0.089214173,0.51747851,0.435530086,0.743266476,0.459598854,Goldsboro,27534,NC,WAYNE MEMORIAL HOSPITAL,110,#00CED1
0.089379799,0.848137536,0.251575931,0.137535817,0.380515759,Oswego,13069,NY,OSWEGO HOSPITAL,111,#00CED1
0.089433201,0.241833811,0.435530086,0.28252149,0.4252149,Covington,30014,GA,NEWTON MEDICAL CENTER,112,#00CED1
0.089764026,0.898567335,0.779942693,0.183954155,0.085959885,Asheboro,27203,NC,RANDOLPH HOSPITAL,113,#00CED1
0.091564818,0.221203438,0.344412607,0.716905444,0.153008596,Waterloo,50703,IA,ALLEN HOSPITAL,114,#00CED1
0.091654776,0.350716332,0.762750716,0.228653295,0.413180516,Pottsville,17901,PA,SCHUYLKILL MEDICAL CENTER - EAST NORWEGIAN STREET,115,#00CED1
0.092003107,0.877936963,0.506017192,0.066475645,0.432091691,Latrobe,15650,PA,EXCELA HEALTH LATROBE HOSPITAL,116,#00CED1
0.092424071,0.436103152,0.506017192,0.559312321,0.725501433,Brockton,2302,MA,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,117,#00CED1
0.092837464,0.346704871,0.625787966,0.508309456,0.567908309,Effingham,62401,IL,ST ANTHONYS MEMORIAL HOSPITAL,118,#00CED1
0.093055387,0.676217765,0.934097421,0.491690544,0.888252149,Cambridge,2138,MA,MOUNT AUBURN HOSPITAL,119,#00CED1
0.094030285,0.592550143,0.506017192,0.183381089,0.202292264,Lewistown,17044,PA,GEISINGER-LEWISTOWN HOSPITAL,120,#00CED1
0.094466954,0.74269341,0.293409742,0.048710602,0.469340974,Salem,44460,OH,SALEM REGIONAL MEDICAL CENTER,121,#00CED1
0.096191667,0.085386819,0.293409742,0.932378223,0.026361032,Columbus,43222,OH,MOUNT CARMEL WEST,122,#00CED1
0.096770982,0.712893983,0.574212034,0.376504298,0.293409742,Marion,43302,OH,MARION GENERAL HOSPITAL,123,#00CED1
0.096783115,0.254441261,0.944412607,0.33008596,0.128366762,Portland,4101,ME,MERCY HOSPITAL,124,#00CED1
0.096913281,0.51747851,0.412034384,0.261891117,0.493409742,Benton,72015,AR,SALINE MEMORIAL HOSPITAL,125,#00CED1
0.097197791,0.753581662,0.625787966,0.988538682,0.063037249,Greensboro,27401,NC,"MOSES H CONE MEMORIAL HOSPITAL, THE",126,#00CED1
0.0972748,0.592550143,0.84469914,0.23495702,0.533524355,Findlay,45840,OH,BLANCHARD VALLEY HOSPITAL,127,#00CED1
0.098390962,0.898567335,0.963323782,0.075644699,0.381088825,Stevens Point,54481,WI,MINISTRY ST MICHAELS HOSPITAL OF STEVENS POINT,128,#00CED1
0.099695499,0.221203438,0.791404011,0.812034384,0.274498567,Baton Rouge,70806,LA,BATON ROUGE GENERAL MEDICAL CENTER,129,#00CED1
0.100071004,0.309455587,0.958166189,0.743266476,0.680802292,St George,84790,UT,DIXIE REGIONAL MEDICAL CENTER,130,#00CED1
0.10148063,0.592550143,0.226361032,0.534670487,0.812034384,Westerville,43081,OH,MOUNT CARMEL ST ANN'S,131,#00CED1
0.101533044,0.459025788,0.455014327,0.375931232,0.438968481,Seneca,16346,PA,UPMC NORTHWEST,132,#00CED1
0.102242255,0.676217765,0.476790831,0.197707736,0.580515759,Kenmore,14217,NY,KENMORE MERCY HOSPITAL,133,#00CED1
0.102773837,0.753581662,0.386819484,0.77765043,0.04469914,Rochester,14621,NY,ROCHESTER GENERAL HOSPITAL,134,#00CED1
0.103649608,0.364469914,0.574212034,0.806876791,0.099713467,Canton,44710,OH,AULTMAN HOSPITAL,135,#00CED1
0.105377173,0.05730659,0.476790831,0.112893983,0.126647564,Willimantic,6226,CT,WINDHAM COMM MEM HOSP & HATCH HOSP,136,#00CED1
0.105593762,0,0.664756447,0.245845272,0.413180516,Pottsville,17901,PA,SCHUYLKILL MEDICAL CENTER - SOUTH JACKSON STREET,137,#00CED1
0.105623304,0.181088825,0.476790831,0.106590258,0.218338109,Kansas City,64108,MO,TRUMAN MEDICAL CENTER HOSPITAL HILL,138,#00CED1
0.10566974,0.010888252,0.412034384,0.029799427,0.108309456,Prestonsburg,41653,KY,HIGHLANDS REGIONAL MEDICAL CENTER,139,#00CED1
0.10572555,0.772492837,0.779942693,0.984527221,0.09226361,Jackson,38301,TN,JACKSON-MADISON COUNTY GENERAL HOSPITAL,140,#00CED1
0.105933275,0.772492837,0.82234957,0.008595989,0.383954155,Sylva,28779,NC,HARRIS REGIONAL HOSPITAL,141,#00CED1
0.105993373,0.640687679,0.881375358,0.767908309,0.374212034,Columbia,38401,TN,MAURY REGIONAL HOSPITAL,142,#00CED1
0.106438588,0.74269341,0.712320917,0.013180516,0.241260745,Sault Ste Marie,49783,MI,CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL,143,#00CED1
0.106510335,0.712893983,0.068194842,0.89226361,0.136962751,Pontiac,48341,MI,ST JOSEPH MERCY OAKLAND,144,#00CED1
0.107375918,0.309455587,0.870487106,0.593123209,0.227507163,Lewiston,4240,ME,CENTRAL MAINE MEDICAL CENTER,145,#00CED1
0.10798523,0.10487106,0.271060172,0.179942693,0.073352436,North Wilkesboro,28659,NC,WILKES REGIONAL MEDICAL CENTER,146,#00CED1
0.108170612,0.676217765,0.891690544,0.394842407,0.532378223,Seaford,19973,DE,NANTICOKE MEMORIAL HOSPITAL,147,#00CED1
0.108386078,0.592550143,0.251575931,0.771919771,0.540401146,Parma,44129,OH,PARMA COMMUNITY GENERAL HOSPITAL,148,#00CED1
0.108481045,0.979942693,0.64469914,0.13008596,0.365616046,Coldwater,49036,MI,COMMUNITY HEALTH CENTER OF BRANCH COUNTY,149,#00CED1
0.108849806,0.772492837,0.506017192,0.385100287,0.312893983,Rutherfordton,28139,NC,RUTHERFORD REGIONAL MEDICAL CENTER,150,#00CED1
0.109288215,0.029226361,0.20286533,0.260744986,0.465329513,Hudson,12534,NY,COLUMBIA MEMORIAL HOSPITAL,151,#00CED1
0.109439541,0.364469914,0.67965616,0.157593123,0.583381089,Helena,59601,MT,ST PETER'S HOSPITAL,152,#00CED1
0.109671067,0.753581662,0.20286533,0.641260745,0.586246418,Manchester,3103,NH,ELLIOT HOSPITAL,153,#00CED1
0.109711825,0.395988539,0.164469914,0.417765043,0.255014327,Martinsburg,25401,WV,BERKELEY MEDICAL CENTER,154,#00CED1
0.110680556,0.753581662,0.455014327,0.195415473,0.145558739,Bluefield,24701,WV,BLUEFIELD REGIONAL MEDICAL CENTER,155,#00CED1
0.11073538,0.772492837,0.412034384,0.748997135,0.582234957,Jeffersonville,47130,IN,CLARK MEMORIAL HOSPITAL,156,#00CED1
0.110866692,0.161031519,0.367335244,0.712893983,0.786819484,Bridgeport,26330,WV,UNITED HOSPITAL CENTER,157,#00CED1
0.111082432,0.350716332,0.608022923,0.58739255,0.611461318,Hendersonville,28791,NC,MARGARET R PARDEE MEMORIAL HOSPITAL,158,#00CED1
0.111614034,0.884813754,0.140401146,0.596561605,0.80974212,Methuen,1844,MA,HOLY FAMILY HOSPITAL,159,#00CED1
0.111629684,0.477363897,0.996561605,0.636103152,0.74269341,Little Rock,72211,AR,"ARKANSAS HEART HOSPITAL, LLC",160,#00CED1
0.113628751,0.772492837,0.005730659,0.163323782,0.171346705,Chicago,60612,IL,JOHN H STROGER JR HOSPITAL,161,#00CED1
0.114294069,0.153581662,0.712320917,0.141547278,0.781661891,Gloucester,23061,VA,RIVERSIDE WALTER REED HOSPITAL,162,#00CED1
0.114523708,0.05730659,0.574212034,0.779369628,0.577077364,Johnstown,15905,PA,MEMORIAL MEDICAL CENTER,163,#00CED1
0.11472173,0.944412607,0.913467049,0.94269341,0.87965616,South Weymouth,2190,MA,SOUTH SHORE HOSPITAL,164,#00CED1
0.115401335,0.181088825,0.934097421,0.012034384,0.718051576,Greenfield,46140,IN,HANCOCK REGIONAL HOSPITAL,165,#00CED1
0.115854065,0.772492837,0.973065903,0.846418338,0.99713467,Arlington,22205,VA,VIRGINIA HOSPITAL CENTER,166,#00CED1
0.118014538,0.592550143,0.806876791,0.16217765,0.710028653,Bartlesville,74006,OK,JANE PHILLIPS MEDICAL CENTER,167,#00CED1
0.118196334,0.05730659,0.20286533,0.387965616,0.20286533,Crossville,38555,TN,CUMBERLAND MEDICAL CENTER,168,#00CED1
0.120151896,0.592550143,0.82234957,0.151862464,0.672206304,Brunswick,4011,ME,MID COAST HOSPITAL,169,#00CED1
0.121009246,0.505444126,0.762750716,0.278510029,0.416045845,Dubuque,52001,IA,FINLEY HOSPITAL,170,#00CED1
0.122500935,0.099140401,0.506017192,0.127793696,0.810888252,Lexington,40509,KY,SAINT JOSEPH EAST,171,#00CED1
0.122676999,0.831518625,0.024068768,0.801146132,0.246418338,Beckley,25801,WV,RALEIGH GENERAL HOSPITAL,172,#00CED1
0.124841089,0.505444126,0.791404011,0.308882521,0.111747851,Lawrence,66044,KS,LAWRENCE MEMORIAL HOSPITAL,173,#00CED1
0.125148321,0.04756447,0.367335244,0.789111748,0.795988539,Fishersville,22939,VA,AUGUSTA HEALTH,174,#00CED1
0.127003744,0.099140401,0.664756447,0.103151862,0.441833811,Silvis,61282,IL,GENESIS HEALTH SYSTEM,175,#00CED1
0.127186084,0.772492837,0.891690544,0.50773639,0.497421203,Monroe,28112,NC,CAROLINAS HEALTHCARE SYSTEM UNION,176,#00CED1
0.127392887,0.640687679,0.608022923,0.753581662,0.432664756,Elyria,44035,OH,UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER,177,#00CED1
0.127702647,0.395988539,0.107163324,0.561031519,0.453295129,Buffalo,14220,NY,MERCY HOSPITAL,178,#00CED1
0.12808812,0.395988539,0.712320917,0.354154728,0.788538682,Fargo,58104,ND,ESSENTIA HEALTH-FARGO,179,#00CED1
0.128629707,0.395988539,0.856160458,0.077936963,0.46991404,Norwalk,44857,OH,FISHER-TITUS HOSPITAL,180,#00CED1
0.129005184,0.800573066,0.699140401,0.690544413,0.4,Lowell,1854,MA,LOWELL GENERAL HOSPITAL,181,#00CED1
0.130737215,0.772492837,0.881375358,0.496848138,0.10773639,Morgantown,26505,WV,MONONGALIA COUNTY GENERAL HOSPITAL,182,#00CED1
0.130751258,0.459025788,0.958166189,0.403438395,0.073925501,Laurel,39440,MS,SOUTH CENTRAL REG MED CTR,183,#00CED1
0.130837962,0.505444126,0.791404011,0.124928367,0.754727794,Lawrenceburg,47025,IN,DEARBORN COUNTY HOSPITAL,184,#00CED1
0.131443992,0.108309456,0.833237822,0.672206304,0.345558739,Mansfield,44903,OH,MEDCENTRAL HEALTH SYSTEM MANSFIELD HOSPITAL,185,#00CED1
0.132185996,0.858452722,0.185673352,0.957020057,0.446991404,Winchester,22601,VA,WINCHESTER MEDICAL CENTER,186,#00CED1
0.132673468,0.469340974,0.833237822,0.08252149,0.213180516,Paris,38242,TN,HENRY COUNTY MEDICAL CENTER,187,#00CED1
0.134023857,0.93008596,0.476790831,0.010888252,0.455014327,Iron Mountain,49801,MI,DICKINSON COUNTY MEMORIAL HOSPITAL,188,#00CED1
0.13483988,0.13008596,0.164469914,0.455014327,0.727793696,Cooperstown,13326,NY,MARY IMOGENE BASSETT HOSPITAL,189,#00CED1
0.135141238,0.05730659,0.746704871,0.283094556,0.096275072,Clyde,28721,NC,HAYWOOD REGIONAL MEDICAL CENTER,190,#00CED1
0.138102359,0.181088825,0.699140401,0.020057307,0.565616046,Barre,5641,VT,CENTRAL VERMONT MEDICAL CENTER,191,#00CED1
0.138188846,0.898567335,0.699140401,0.963896848,0.068767908,Syracuse,13203,NY,ST JOSEPH'S HOSPITAL HEALTH CENTER,192,#00CED1
0.138407275,0.05730659,0.367335244,0.310028653,0.384527221,Kerrville,78028,TX,PETERSON REGIONAL MEDICAL CENTER,193,#00CED1
0.138605934,0.592550143,0.67965616,0.985673352,0.173065903,Grand Rapids,49503,MI,SPECTRUM HEALTH - BUTTERWORTH CAMPUS,194,#00CED1
0.138822706,0.592550143,0.944412607,0.594269341,0.624641834,Columbus,47201,IN,COLUMBUS REGIONAL HOSPITAL,195,#00CED1
0.138926427,0.459025788,0.344412607,0.13982808,0.433810888,Amsterdam,12010,NY,ST MARY'S HOSPITAL AT AMSTERDAM,196,#00CED1
0.139862738,0.998853868,0.251575931,0.2252149,0.499713467,Auburn,13021,NY,AUBURN COMMUNITY HOSPITAL,197,#00CED1
0.140612192,0.05730659,0.534097421,0.413753582,0.189684814,Roanoke Rapids,27870,NC,HALIFAX REGIONAL MEDICAL CENTER INC,198,#00CED1
