Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,ZIP,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
47040537,7/31/2020 8:04,8/1/2020 16:58,DOT,Department of Transportation,Traffic Signal Condition,LED Lense,,11385,,,,,MYRTLE AVENUE,65 STREET,INTERSECTION,Ridgewood,,N/A,Closed,,Service Request status for this request is available on the Department of Transportation’s website. Please click the “Learn More” link below.,8/1/2020 16:58,05 QUEENS,,QUEENS,"1,014,682","194,743",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.70114899,-73.89024653,"(40.70114898881283, -73.89024653211935)"
47041718,7/31/2020 8:07,8/1/2020 12:00,DSNY,BCC - Queens West,Missed Collection (All Materials),1 Missed Collection,Sidewalk,11385,64-32 80 AVENUE,80 AVENUE,64 PLACE,64 LANE,,,ADDRESS,Ridgewood,,DSNY Garage,Closed,,The Department of Sanitation picked up the items and determined that the missed collection complaint was not warranted.,8/1/2020 12:00,05 QUEENS,4037330103,QUEENS,"1,014,766","192,841",PHONE,Unspecified,QUEENS,,,,,,,,40.69592816,-73.8899522,"(40.69592815712539, -73.88995220282165)"
47047704,7/31/2020 8:08,7/31/2020 9:34,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11385,1715 CENTRE STREET,CENTRE STREET,CYPRESS AVENUE,SENECA AVENUE,CYPRESS AVENUE,SENECA AVENUE,,RIDGEWOOD,CENTRE STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,7/31/2020 13:35,05 QUEENS,4035620048,QUEENS,"1,011,123","193,857",ONLINE,Unspecified,QUEENS,,,,,,,,40.6987286,-73.9030856,"(40.6987286, -73.9030856)"
47039981,7/31/2020 8:48,7/31/2020 11:13,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11385,88-19 81 AVENUE,81 AVENUE,88 STREET,WOODHAVEN BOULEVARD,88 STREET,WOODHAVEN BOULEVARD,,RIDGEWOOD,81 AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,7/31/2020 15:13,05 QUEENS,4038610057,QUEENS,"1,023,330","195,914",ONLINE,Unspecified,QUEENS,,,,,,,,40.7043291,-73.8590506,"(40.7043291, -73.8590506)"
47046072,7/31/2020 8:48,7/31/2020 10:45,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,59-02 COOPER AVENUE,COOPER AVENUE,59 STREET,80 AVENUE,59 STREET,80 AVENUE,,RIDGEWOOD,COOPER AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,7/31/2020 14:45,05 QUEENS,4037320010,QUEENS,"1,013,001","192,327",MOBILE,Unspecified,QUEENS,,,,,,,,40.6945232,-73.8963194,"(40.6945232, -73.8963194)"
47046216,7/31/2020 8:49,7/31/2020 9:14,NYPD,New York City Police Department,Vending,In Prohibited Area,Street/Sidewalk,11385,88-72 78 AVENUE,78 AVENUE,WOODHAVEN BOULEVARD,DEAD END,WOODHAVEN BOULEVARD,DEAD END,,RIDGEWOOD,78 AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,7/31/2020 13:14,06 QUEENS,4038860030,QUEENS,"1,023,367","196,881",PHONE,Unspecified,QUEENS,,,,,,,,40.7069831,-73.8589116,"(40.7069831, -73.8589116)"
47045819,7/31/2020 8:50,7/31/2020 18:10,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11385,60-59 MYRTLE AVENUE,MYRTLE AVENUE,60 LN,DECATUR ST,,,ADDRESS,Ridgewood,,,Closed,,"The Department of Environmental Protection has investigated this complaint. Upon investigation, there was no indication of a city sewer issue and there is a suspected sewer backup due to an internal plumbing issue.",7/31/2020 18:10,05 QUEENS,4035380064,QUEENS,"1,013,053","194,567",PHONE,Unspecified,QUEENS,,,,,,,,40.7006713,-73.8961223,"(40.7006713, -73.8961223)"
47046503,7/31/2020 9:00,7/31/2020 10:30,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11385,68 PLACE,68 PLACE,68 PLACE,OTTO ROAD,68 PLACE,OTTO ROAD,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,7/31/2020 14:30,05 QUEENS,,QUEENS,"1,015,982","196,568",PHONE,Unspecified,QUEENS,,,,,,,,40.7061536,-73.8855495,"(40.7061536, -73.8855495)"
47040575,7/31/2020 9:06,7/31/2020 9:09,DHS,Department of Homeless Services,Homeless Person Assistance,,N/A,11385,817 SENECA AVENUE,SENECA AVENUE,PUTNAM AVENUE,CORNELIA STREET,PUTNAM AVENUE,CORNELIA STREET,ADDRESS,Ridgewood,SENECA AVENUE,,Closed,,"Due to technical issues or other circumstances, the Department of Homeless Services has determined that this request should now be administratively closed.",7/31/2020 9:09,05 QUEENS,4034630001,QUEENS,"1,010,542","194,805",MOBILE,Unspecified,QUEENS,,,,,,,,40.70133243,-73.90517725,"(40.701332433247856, -73.90517725005189)"
47049297,7/31/2020 9:11,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Traffic Sign or Signal Blocked,Street,11385,89-89 UNION TURNPIKE,UNION TURNPIKE,MARGARET PLACE,LIRR MONTAUK LINE,MARGARET PLACE,LIRR MONTAUK LINE,,RIDGEWOOD,UNION TURNPIKE,,In Progress,,,,06 QUEENS,4038860380,QUEENS,"1,024,412","196,761",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7066491,-73.8551432,"(40.7066491, -73.8551432)"
47040950,7/31/2020 9:43,8/1/2020 0:50,DOT,Department of Transportation,Traffic Signal Condition,Enclosure Cap,,11385,,,,,SENECA AVENUE,CORNELIA STREET,INTERSECTION,Ridgewood,,N/A,Assigned,,Service Request status for this request is available on the Department of Transportation’s website. Please click the “Learn More” link below.,8/1/2020 0:50,05 QUEENS,,QUEENS,"1,010,667","194,704",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.70105484,-73.90472683,"(40.70105483977612, -73.90472683098503)"
47047376,7/31/2020 9:47,8/1/2020 11:15,DEP,Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),,11385,77-02 85 STREET,85 STREET,77 AVE,78 AVE,,,ADDRESS,Ridgewood,,,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",8/1/2020 11:15,05 QUEENS,4038400006,QUEENS,"1,021,885","196,712",PHONE,Unspecified,QUEENS,,,,,,,,40.7065257,-73.8642578,"(40.7065257, -73.8642578)"
47050428,7/31/2020 9:54,,DSNY,A - Queens,Dirty Conditions,"E4 18"" Law",Street,11385,70-22 CYPRESS HILLS STREET,CYPRESS HILLS STREET,62 STREET,71 AVENUE,,,ADDRESS,Ridgewood,,N/A,Open,,The Department of Sanitation is in the process of investigating this complaint.,,05 QUEENS,4036300025,QUEENS,"1,013,721","195,166",PHONE,Unspecified,QUEENS,,,,,,,,40.7023132,-73.8937105,"(40.7023132, -73.8937105)"
47043423,7/31/2020 9:59,9/8/2020 16:03,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11385,78-35 78 STREET,78 STREET,78 AVENUE,MYRTLE AVENUE,78 AVENUE,MYRTLE AVENUE,,RIDGEWOOD,78 STREET,,Closed,,The Department of Parks and Recreation inspected and determined that the site is ineligible for the Trees and Sidewalks Program because of one or more of the following reasons: - The damage to the sidewalk is not severe enough to qualify for the program - The property adjacent to the sidewalk is not in Tax Class 1 - The property adjacent to the sidewalk is not owner-occupied - The property adjacent to the sidewalk contains a place of business  You can request a sidewalk consultation with the Parks Department to get advice on how you can make repairs on your own.,9/8/2020 20:03,05 QUEENS,4038270062,QUEENS,"1,019,707","195,740",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.70386681,-73.87211857,"(40.70386680929845, -73.8721185683268)"
47044912,7/31/2020 10:38,8/1/2020 21:06,MAYOR?S OFFICE OF SPECIAL ENFORCEMENT,Mayor?s Office of Special Enforcement,NonCompliance with Phased Reopening,Business not in compliance,Store/Commercial,11385,60-90 MYRTLE AVENUE,MYRTLE AVENUE,DECATUR STREET,FRESH POND ROAD,DECATUR STREET,FRESH POND ROAD,,RIDGEWOOD,MYRTLE AVENUE,,Closed,,The Office of Special Enforcement investigated or referred to another agency for investigation and it was determined that the business is allowed to be open and was in compliance with reopening guidelines.,8/2/2020 1:06,05 QUEENS,4035900016,QUEENS,"1,013,356","194,596",PHONE,Unspecified,QUEENS,,,,,,,,40.7007499,-73.8950294,"(40.7007499, -73.8950294)"
47042896,7/31/2020 10:54,8/3/2020 10:07,DCA,Department of Consumer Affairs,Consumer Complaint,Car Wash,Commercial Building,11385,88-72 78 AVENUE,78 AVENUE,WOODHAVEN BOULEVARD,DEAD END,WOODHAVEN BOULEVARD,DEAD END,,RIDGEWOOD,78 AVENUE,,Closed,,"The Department of Consumer Affairs is scheduling an inspection which will take place within 35 days. Please do not file duplicate complaints or call to check results during this time. After 35 days, call 311 with your Service Request Number and ask for Service Request Status - DCA.",8/3/2020 14:07,06 QUEENS,4038860030,QUEENS,"1,023,367","196,881",ONLINE,Unspecified,QUEENS,,,,,,,,40.7069831,-73.8589116,"(40.7069831, -73.8589116)"
47044550,7/31/2020 11:25,7/31/2020 11:53,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11385,73-36 71 PLACE,71 PLACE,MYRTLE AVENUE,DEAD END,MYRTLE AVENUE,DEAD END,,RIDGEWOOD,71 PLACE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,7/31/2020 15:53,05 QUEENS,4037090046,QUEENS,"1,017,851","194,764",PHONE,Unspecified,QUEENS,,,,,,,,40.7011951,-73.8788174,"(40.7011951, -73.8788174)"
47050062,7/31/2020 11:27,8/1/2020 12:00,DSNY,BCC - Queens West,Missed Collection (All Materials),1R Missed Recycling-All Materials,Sidewalk,11385,1833 PALMETTO STREET,PALMETTO STREET,MYRTLE AVENUE LINE,ONDERDONK AVENUE,,,ADDRESS,Ridgewood,,DSNY Garage,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,8/1/2020 12:00,05 QUEENS,4034550032,QUEENS,"1,010,028","195,582",ONLINE,Unspecified,QUEENS,,,,,,,,40.70346663,-73.90702803,"(40.70346662707825, -73.90702802818255)"
47047480,7/31/2020 11:58,7/31/2020 12:05,DEP,Department of Environmental Protection,Water System,Hydrant Running Full (WA4),,11385,1883 DE KALB AVENUE,DE KALB AVENUE,ONDERDONK AVE,WOODWARD AVE,,,ADDRESS,Ridgewood,,,Closed,,The Department of Environmental Protection investigated this complaint and found it to be a temporary condition.,7/31/2020 12:05,05 QUEENS,4033990046,QUEENS,"1,008,031","197,680",ONLINE,Unspecified,QUEENS,,,,,,,,40.7092307,-73.9142231,"(40.7092307, -73.9142231)"
47051185,7/31/2020 12:08,7/31/2020 12:40,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11385,59-09 DECATUR STREET,DECATUR STREET,FOREST AVENUE,BEND,FOREST AVENUE,BEND,,RIDGEWOOD,DECATUR STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,7/31/2020 16:41,05 QUEENS,4035890074,QUEENS,"1,012,822","193,981",MOBILE,Unspecified,QUEENS,,,,,,,,40.6990636,-73.8969579,"(40.6990636, -73.8969579)"
47043732,7/31/2020 12:17,8/28/2020 18:11,HPD,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11385,2053 GATES AVENUE,GATES AVENUE,,,,,ADDRESS,Ridgewood,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,8/28/2020 18:11,05 QUEENS,4034850045,QUEENS,"1,010,692","196,865",PHONE,Unspecified,QUEENS,,,,,,,,40.7069862,-73.90462818,"(40.706986198552805, -73.9046281829297)"
47049755,7/31/2020 12:17,8/28/2020 11:06,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11385,2053 GATES AVENUE,GATES AVENUE,,,,,ADDRESS,Ridgewood,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,8/28/2020 11:06,05 QUEENS,4034850045,QUEENS,"1,010,692","196,865",PHONE,Unspecified,QUEENS,,,,,,,,40.7069862,-73.90462818,"(40.706986198552805, -73.9046281829297)"
47049723,7/31/2020 12:17,8/28/2020 11:06,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11385,2053 GATES AVENUE,GATES AVENUE,,,,,ADDRESS,Ridgewood,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,8/28/2020 11:06,05 QUEENS,4034850045,QUEENS,"1,010,692","196,865",PHONE,Unspecified,QUEENS,,,,,,,,40.7069862,-73.90462818,"(40.706986198552805, -73.9046281829297)"
47046636,7/31/2020 12:17,8/28/2020 11:06,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11385,2053 GATES AVENUE,GATES AVENUE,,,,,ADDRESS,Ridgewood,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,8/28/2020 11:06,05 QUEENS,4034850045,QUEENS,"1,010,692","196,865",PHONE,Unspecified,QUEENS,,,,,,,,40.7069862,-73.90462818,"(40.706986198552805, -73.9046281829297)"
47045230,7/31/2020 12:17,8/28/2020 11:06,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11385,2053 GATES AVENUE,GATES AVENUE,,,,,ADDRESS,Ridgewood,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,8/28/2020 11:06,05 QUEENS,4034850045,QUEENS,"1,010,692","196,865",PHONE,Unspecified,QUEENS,,,,,,,,40.7069862,-73.90462818,"(40.706986198552805, -73.9046281829297)"
47043616,7/31/2020 12:17,8/28/2020 11:06,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11385,2053 GATES AVENUE,GATES AVENUE,,,,,ADDRESS,Ridgewood,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,8/28/2020 11:06,05 QUEENS,4034850045,QUEENS,"1,010,692","196,865",PHONE,Unspecified,QUEENS,,,,,,,,40.7069862,-73.90462818,"(40.706986198552805, -73.9046281829297)"
47040566,7/31/2020 12:17,8/28/2020 11:06,HPD,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,11385,2053 GATES AVENUE,GATES AVENUE,,,,,ADDRESS,Ridgewood,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,8/28/2020 11:06,05 QUEENS,4034850045,QUEENS,"1,010,692","196,865",PHONE,Unspecified,QUEENS,,,,,,,,40.7069862,-73.90462818,"(40.706986198552805, -73.9046281829297)"
47050847,7/31/2020 12:58,9/11/2020 16:03,DPR,Department of Parks and Recreation,Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Street,11385,89-06 COOPER AVENUE,COOPER AVENUE,88 STREET,METROPOLITAN AVENUE,88 STREET,METROPOLITAN AVENUE,,RIDGEWOOD,COOPER AVENUE,,Closed,,The Department of Parks and Recreation inspected and determined that the site is ineligible for the Trees and Sidewalks Program because of one or more of the following reasons: - The damage to the sidewalk is not severe enough to qualify for the program - The property adjacent to the sidewalk is not in Tax Class 1 - The property adjacent to the sidewalk is not owner-occupied - The property adjacent to the sidewalk contains a place of business  You can request a sidewalk consultation with the Parks Department to get advice on how you can make repairs on your own.,9/11/2020 20:03,05 QUEENS,4038510063,QUEENS,"1,022,344","198,686",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.71194191,-73.86259115,"(40.71194191322607, -73.8625911472341)"
47049095,7/31/2020 13:16,7/31/2020 14:12,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11385,760 SENECA AVENUE,SENECA AVENUE,WOODBINE STREET,MADISON STREET,WOODBINE STREET,MADISON STREET,,RIDGEWOOD,SENECA AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,7/31/2020 18:12,05 QUEENS,4034570032,QUEENS,"1,010,132","195,116",PHONE,Unspecified,QUEENS,,,,,,,,40.7021872,-73.9066547,"(40.7021872, -73.9066547)"
47044652,7/31/2020 13:22,7/31/2020 14:59,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11385,72-29 72 PLACE,72 PLACE,COOPER AVENUE,MYRTLE AVENUE,COOPER AVENUE,MYRTLE AVENUE,,RIDGEWOOD,72 PLACE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,7/31/2020 18:59,05 QUEENS,4036950045,QUEENS,"1,018,198","195,350",ONLINE,Unspecified,QUEENS,,,,,,,,40.7028022,-73.877563,"(40.7028022, -73.877563)"
47042872,7/31/2020 13:30,7/31/2020 17:30,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),,11385,77-08 85 STREET,85 STREET,77 AVE,78 AVE,,,ADDRESS,Ridgewood,,,Closed,,The Department of Environmental Protection has investigated this complaint. Surcharge conditions have been confirmed and attributed to grease. Work was performed to relieve the blockage.,7/31/2020 17:30,05 QUEENS,4038400009,QUEENS,"1,021,887","196,697",PHONE,Unspecified,QUEENS,,,,,,,,40.7064845,-73.8642507,"(40.7064845, -73.8642507)"
47043391,7/31/2020 13:54,7/31/2020 15:07,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11385,73-51 71 STREET,71 STREET,MYRTLE AVENUE,DEAD END,MYRTLE AVENUE,DEAD END,,RIDGEWOOD,71 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,7/31/2020 19:08,05 QUEENS,4037090001,QUEENS,"1,017,596","194,761",ONLINE,Unspecified,QUEENS,,,,,,,,40.7011879,-73.8797371,"(40.7011879, -73.8797371)"
47047352,7/31/2020 14:09,7/31/2020 14:30,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,11385,88-30 75 AVENUE,75 AVENUE,88 ST,BEND,,,ADDRESS,Ridgewood,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate to another service request.,7/31/2020 14:30,05 QUEENS,4038560172,QUEENS,"1,022,555","197,294",PHONE,Unspecified,QUEENS,,,,,,,,40.7081203,-73.861838,"(40.7081203, -73.861838)"
47039793,7/31/2020 14:09,7/31/2020 14:30,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,11385,88-30 75 AVENUE,75 AVENUE,88 ST,BEND,,,ADDRESS,Ridgewood,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate to another service request.,7/31/2020 14:30,05 QUEENS,4038560172,QUEENS,"1,022,555","197,294",ONLINE,Unspecified,QUEENS,,,,,,,,40.7081203,-73.861838,"(40.7081203, -73.861838)"
47050621,7/31/2020 14:09,8/3/2020 0:00,DOB,Department of Buildings,General Construction/Plumbing,Debris - Excessive,,11385,88-30 75 AVENUE,75 AVENUE,,,,,ADDRESS,Ridgewood,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",8/3/2020 0:00,05 QUEENS,4038560172,QUEENS,"1,022,555","197,294",UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7081203,-73.86183797,"(40.70812029723771, -73.86183796992985)"
47046617,7/31/2020 14:16,7/31/2020 15:09,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11385,464 ONDERDONK AVENUE,ONDERDONK AVENUE,HIMROD STREET,HARMAN STREET,HIMROD STREET,HARMAN STREET,,RIDGEWOOD,ONDERDONK AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,7/31/2020 19:10,05 QUEENS,4034300041,QUEENS,"1,008,563","196,862",ONLINE,Unspecified,QUEENS,,,,,,,,40.706984,-73.9123071,"(40.706984, -73.9123071)"
47047633,7/31/2020 14:20,7/31/2020 17:05,NYPD,New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11385,76 STREET,76 STREET,76 STREET,77 AVENUE,76 STREET,77 AVENUE,,,,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,7/31/2020 21:06,05 QUEENS,,QUEENS,"1,019,162","196,631",ONLINE,Unspecified,QUEENS,,,,,,,,40.7063145,-73.8740796,"(40.7063145, -73.8740796)"
47047297,7/31/2020 14:21,7/31/2020 14:30,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,11385,88-30 75 AVENUE,75 AVENUE,88 ST,BEND,,,ADDRESS,Ridgewood,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate to another service request.,7/31/2020 14:30,05 QUEENS,4038560172,QUEENS,"1,022,555","197,294",ONLINE,Unspecified,QUEENS,,,,,,,,40.7081203,-73.861838,"(40.7081203, -73.861838)"
