type,risk,maptype,mapping
prescription,0,primary,IBUPROFEN 600 mg ORAL TABLET
prescription,0,primary,Loratadine 10 MG Oral Tablet
prescription,0,primary,IBUPROFEN 800 mg ORAL TABLET
prescription,0,primary,Acetaminophen 500 MG Oral Tablet
prescription,0,primary,Lisinopril 10 MG Oral Tablet
prescription,0,primary,HYDROCHLOROTHIAZIDE 25 mg ORAL TABLET
prescription,0,primary,LISINOPRIL 20 mg ORAL TABLET
prescription,0,primary,Prednisone 20 MG Oral Tablet
prescription,0,primary,cetirizine hydrochloride 10 MG Oral Tablet
prescription,0,primary,Cyclobenzaprine hydrochloride 10 MG Oral Tablet
prescription,0,primary,Metformin Hydrochloride 500 MG Oral Tablet
prescription,0,primary,GABAPENTIN 300 mg ORAL CAPSULE
prescription,0,primary,Ibuprofen 200 MG Oral Tablet
prescription,0,primary,Tramadol Hydrochloride 50 MG Oral Tablet
prescription,0,primary,Amoxicillin 500 MG Oral Capsule
prescription,0,primary,Metformin hydrochloride 1000 MG Oral Tablet
prescription,0,primary,Ranitidine 150 MG Oral Tablet
prescription,0,primary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,0,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE, DELAYED RELEASE"
prescription,0,primary,Metronidazole 500 MG Oral Tablet
prescription,0,primary,Aspirin 81 MG Delayed Release Oral Tablet
prescription,0,primary,LORATADINE 10MG TAB
prescription,0,primary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,0,primary,CETIRIZINE HCL 10MG TAB
prescription,0,primary,ACETAMINOPHEN 500MG TAB
prescription,0,primary,Ibuprofen 400 MG Oral Tablet
prescription,0,primary,Cephalexin 500 MG Oral Capsule
prescription,0,primary,Lisinopril 40 MG Oral Tablet
prescription,0,primary,AMLODIPINE BESYLATE 5 mg ORAL TABLET
prescription,0,primary,LISINOPRIL 5 mg ORAL TABLET
prescription,0,primary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,0,primary,Ranitidine Hydrochloride 150 MG Oral Tablet
prescription,0,primary,Amlodipine Besylate 10 MG Oral Tablet
prescription,0,primary,Acetaminophen 325 MG Oral Tablet
prescription,0,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE,DELAYED RELEASE (ENTERIC COATED)"
prescription,0,primary,"ASPIRIN 81MG TAB,EC"
prescription,0,primary,CYCLOBENZAPRINE HCL 10 mg ORAL TABLET
prescription,0,primary,NAPROXEN 500MG TAB
prescription,1,primary,Naproxen 500 MG Oral Tablet
prescription,1,primary,IBUPROFEN 600 mg ORAL TABLET
prescription,1,primary,gabapentin 300 MG Oral Capsule
prescription,1,primary,Acetaminophen 500 MG Oral Tablet
prescription,1,primary,IBUPROFEN 800 mg ORAL TABLET
prescription,1,primary,Lisinopril 10 MG Oral Tablet
prescription,1,primary,Metformin hydrochloride 500 MG Oral Tablet
prescription,1,primary,Loratadine 10 MG Oral Tablet
prescription,1,primary,Lisinopril 20 MG Oral Tablet
prescription,1,primary,CYCLOBENZAPRINE HYDROCHLORIDE 10 mg ORAL TABLET
prescription,1,primary,HYDROCHLOROTHIAZIDE 25 mg ORAL TABLET
prescription,1,primary,Prednisone 20 MG Oral Tablet
prescription,1,primary,Metformin Hydrochloride 1000 MG Oral Tablet
prescription,1,primary,tramadol hydrochloride 50 MG Oral Tablet
prescription,1,primary,cetirizine hydrochloride 10 MG Oral Tablet
prescription,1,primary,Ranitidine 150 MG Oral Tablet
prescription,1,primary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,1,primary,Ibuprofen 200 MG Oral Tablet
prescription,1,primary,AMOXICILLIN 500 mg ORAL CAPSULE
prescription,1,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE, DELAYED RELEASE"
prescription,1,primary,Aspirin 81 MG Delayed Release Oral Tablet
prescription,1,primary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,1,primary,Lisinopril 40 MG Oral Tablet
prescription,1,primary,METRONIDAZOLE 500 mg ORAL TABLET
prescription,1,primary,ACETAMINOPHEN 500MG TAB
prescription,1,primary,LORATADINE 10MG TAB
prescription,1,primary,Trazodone Hydrochloride 50 MG Oral Tablet
prescription,1,primary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,1,primary,Lisinopril 5 MG Oral Tablet
prescription,1,primary,METFORMIN HCL 500 mg ORAL TABLET
prescription,1,primary,CEPHALEXIN 500 mg ORAL CAPSULE
prescription,1,primary,Amlodipine Besylate 5 MG Oral Tablet
prescription,1,primary,RANITIDINE HYDROCHLORIDE 150 mg ORAL TABLET
prescription,1,primary,GABAPENTIN 100 mg ORAL CAPSULE
prescription,1,primary,"ASPIRIN 81MG TAB,EC"
prescription,1,primary,CYCLOBENZAPRINE HCL 10 mg ORAL TABLET
prescription,1,primary,IBUPROFEN 400 mg ORAL TABLET
prescription,1,primary,CETIRIZINE HCL 10MG TAB
prescription,1,primary,METFORMIN HCL 500MG TAB
prescription,2,primary,Gabapentin 300 MG Oral Capsule
prescription,2,primary,Acetaminophen 500 MG Oral Tablet
prescription,2,primary,Naproxen 500 MG Oral Tablet
prescription,2,primary,Metformin Hydrochloride 500 MG Oral Tablet
prescription,2,primary,Ibuprofen 600 MG Oral Tablet
prescription,2,primary,Metformin hydrochloride 1000 MG Oral Tablet
prescription,2,primary,Loratadine 10 MG Oral Tablet
prescription,2,primary,Lisinopril 10 MG Oral Tablet
prescription,2,primary,LISINOPRIL 20 mg ORAL TABLET
prescription,2,primary,Ibuprofen 800 MG Oral Tablet
prescription,2,primary,CYCLOBENZAPRINE HYDROCHLORIDE 10 mg ORAL TABLET
prescription,2,primary,Prednisone 20 MG Oral Tablet
prescription,2,primary,tramadol hydrochloride 50 MG Oral Tablet
prescription,2,primary,Hydrochlorothiazide 25 MG Oral Tablet
prescription,2,primary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,2,primary,Ranitidine 150 MG Oral Tablet
prescription,2,primary,cetirizine hydrochloride 10 MG Oral Tablet
prescription,2,primary,Aspirin 81 MG Delayed Release Oral Tablet
prescription,2,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE, DELAYED RELEASE"
prescription,2,primary,GABAPENTIN 100 mg ORAL CAPSULE
prescription,2,primary,Ibuprofen 200 MG Oral Tablet
prescription,2,primary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,2,primary,Lisinopril 40 MG Oral Tablet
prescription,2,primary,Amoxicillin 500 MG Oral Capsule
prescription,2,primary,ACETAMINOPHEN 500MG TAB
prescription,2,primary,Lisinopril 5 MG Oral Tablet
prescription,2,primary,METFORMIN HCL 500 mg ORAL TABLET
prescription,2,primary,TRAZODONE HYDROCHLORIDE 50 mg ORAL TABLET
prescription,2,primary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,2,primary,LORATADINE 10MG TAB
prescription,2,primary,"ASPIRIN 81MG TAB,EC"
prescription,2,primary,Cephalexin 500 MG Oral Capsule
prescription,2,primary,METFORMIN HCL 500MG TAB
prescription,2,primary,GABAPENTIN 300MG CAP
prescription,2,primary,METRONIDAZOLE 500 mg ORAL TABLET
prescription,2,primary,RANITIDINE HYDROCHLORIDE 150 mg ORAL TABLET
prescription,2,primary,"METFORMIN HCL 1,000 mg ORAL TABLET"
prescription,2,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE,DELAYED RELEASE (ENTERIC COATED)"
prescription,2,primary,Methocarbamol 750 MG Oral Tablet
prescription,3,primary,gabapentin 300 MG Oral Capsule
prescription,3,primary,Acetaminophen 500 MG Oral Tablet
prescription,3,primary,Metformin Hydrochloride 500 MG Oral Tablet
prescription,3,primary,Ibuprofen 600 MG Oral Tablet
prescription,3,primary,LISINOPRIL 20 mg ORAL TABLET
prescription,3,primary,Lisinopril 10 MG Oral Tablet
prescription,3,primary,Loratadine 10 MG Oral Tablet
prescription,3,primary,Metformin Hydrochloride 1000 MG Oral Tablet
prescription,3,primary,Naproxen 500 MG Oral Tablet
prescription,3,primary,Prednisone 20 MG Oral Tablet
prescription,3,primary,tramadol hydrochloride 50 MG Oral Tablet
prescription,3,primary,Hydrochlorothiazide 25 MG Oral Tablet
prescription,3,primary,Cyclobenzaprine hydrochloride 10 MG Oral Tablet
prescription,3,primary,Ibuprofen 800 MG Oral Tablet
prescription,3,primary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,3,primary,Aspirin 81 MG Delayed Release Oral Tablet
prescription,3,primary,Ranitidine 150 MG Oral Tablet
prescription,3,primary,cetirizine hydrochloride 10 MG Oral Tablet
prescription,3,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE, DELAYED RELEASE"
prescription,3,primary,Lisinopril 40 MG Oral Tablet
prescription,3,primary,gabapentin 100 MG Oral Capsule
prescription,3,primary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,3,primary,Lisinopril 5 MG Oral Tablet
prescription,3,primary,Ibuprofen 200 MG Oral Tablet
prescription,3,primary,ACETAMINOPHEN 500MG TAB
prescription,3,primary,Cephalexin 500 MG Oral Capsule
prescription,3,primary,Amoxicillin 500 MG Oral Capsule
prescription,3,primary,"ASPIRIN 81MG TAB,EC"
prescription,3,primary,AMLODIPINE BESYLATE 10 mg ORAL TABLET
prescription,3,primary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,3,primary,AMLODIPINE BESYLATE 5 mg ORAL TABLET
prescription,3,primary,LORATADINE 10MG TAB
prescription,3,primary,METFORMIN HCL 500 mg ORAL TABLET
prescription,3,primary,GABAPENTIN 300MG CAP
prescription,3,primary,TRAZODONE HYDROCHLORIDE 50 mg ORAL TABLET
prescription,3,primary,Furosemide 20 MG Oral Tablet
prescription,3,primary,Ranitidine Hydrochloride 150 MG Oral Tablet
prescription,3,primary,Methocarbamol 750 MG Oral Tablet
prescription,3,primary,METFORMIN HCL 500MG TAB
prescription,4,primary,GABAPENTIN 300 mg ORAL CAPSULE
prescription,4,primary,Acetaminophen 500 MG Oral Tablet
prescription,4,primary,Metformin Hydrochloride 500 MG Oral Tablet
prescription,4,primary,Lisinopril 20 MG Oral Tablet
prescription,4,primary,Lisinopril 10 MG Oral Tablet
prescription,4,primary,Metformin hydrochloride 1000 MG Oral Tablet
prescription,4,primary,PREDNISONE 20 mg ORAL TABLET
prescription,4,primary,HYDROCHLOROTHIAZIDE 25 mg ORAL TABLET
prescription,4,primary,tramadol hydrochloride 50 MG Oral Tablet
prescription,4,primary,Loratadine 10 MG Oral Tablet
prescription,4,primary,CYCLOBENZAPRINE HYDROCHLORIDE 10 mg ORAL TABLET
prescription,4,primary,Ibuprofen 600 MG Oral Tablet
prescription,4,primary,Aspirin 81 MG Delayed Release Oral Tablet
prescription,4,primary,Naproxen 500 MG Oral Tablet
prescription,4,primary,Lisinopril 40 MG Oral Tablet
prescription,4,primary,Ranitidine 150 MG Oral Tablet
prescription,4,primary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,4,primary,Ibuprofen 800 MG Oral Tablet
prescription,4,primary,cetirizine hydrochloride 10 MG Oral Tablet
prescription,4,primary,GABAPENTIN 100 mg ORAL CAPSULE
prescription,4,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE, DELAYED RELEASE"
prescription,4,primary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,4,primary,Lisinopril 5 MG Oral Tablet
prescription,4,primary,Cephalexin 500 MG Oral Capsule
prescription,4,primary,"ASPIRIN 81MG TAB,EC"
prescription,4,primary,AMLODIPINE BESYLATE 5 mg ORAL TABLET
prescription,4,primary,Amlodipine Besylate 10 MG Oral Tablet
prescription,4,primary,Furosemide 40 MG Oral Tablet
prescription,4,primary,Furosemide 20 MG Oral Tablet
prescription,4,primary,ACETAMINOPHEN 500MG TAB
prescription,4,primary,Amoxicillin 500 MG Oral Capsule
prescription,4,primary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,4,primary,METFORMIN HCL 500 mg ORAL TABLET
prescription,4,primary,GABAPENTIN 300MG CAP
prescription,4,primary,IBUPROFEN 200 mg ORAL TABLET
prescription,4,primary,Gabapentin 600 MG Oral Tablet
prescription,4,primary,LORATADINE 10MG TAB
prescription,4,primary,"METFORMIN HCL 1,000 mg ORAL TABLET"
prescription,4,primary,Trazodone Hydrochloride 50 MG Oral Tablet
prescription,5,primary,gabapentin 300 MG Oral Capsule
prescription,5,primary,Acetaminophen 500 MG Oral Tablet
prescription,5,primary,Prednisone 20 MG Oral Tablet
prescription,5,primary,Metformin hydrochloride 500 MG Oral Tablet
prescription,5,primary,LISINOPRIL 20 mg ORAL TABLET
prescription,5,primary,Lisinopril 10 MG Oral Tablet
prescription,5,primary,tramadol hydrochloride 50 MG Oral Tablet
prescription,5,primary,Hydrochlorothiazide 25 MG Oral Tablet
prescription,5,primary,Metformin Hydrochloride 1000 MG Oral Tablet
prescription,5,primary,Loratadine 10 MG Oral Tablet
prescription,5,primary,IBUPROFEN 600 mg ORAL TABLET
prescription,5,primary,Cyclobenzaprine Hydrochloride 10 MG Oral Tablet
prescription,5,primary,Naproxen 500 MG Oral Tablet
prescription,5,primary,Aspirin 81 MG Delayed Release Oral Tablet
prescription,5,primary,LISINOPRIL 40 mg ORAL TABLET
prescription,5,primary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,5,primary,Ranitidine 150 MG Oral Tablet
prescription,5,primary,Furosemide 40 MG Oral Tablet
prescription,5,primary,GABAPENTIN 100 mg ORAL CAPSULE
prescription,5,primary,Ibuprofen 800 MG Oral Tablet
prescription,5,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE, DELAYED RELEASE"
prescription,5,primary,Lisinopril 5 MG Oral Tablet
prescription,5,primary,FUROSEMIDE 20 mg ORAL TABLET
prescription,5,primary,Amlodipine Besylate 10 MG Oral Tablet
prescription,5,primary,AMLODIPINE BESYLATE 5 mg ORAL TABLET
prescription,5,primary,cetirizine hydrochloride 10 MG Oral Tablet
prescription,5,primary,Cephalexin 500 MG Oral Capsule
prescription,5,primary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,5,primary,"ASPIRIN 81MG TAB,EC"
prescription,5,primary,ACETAMINOPHEN 500MG TAB
prescription,5,primary,GABAPENTIN 300MG CAP
prescription,5,primary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,5,primary,METFORMIN HCL 500 mg ORAL TABLET
prescription,5,primary,Acetaminophen 325 MG Oral Tablet
prescription,5,primary,Amlodipine 10 MG Oral Tablet
prescription,5,primary,Amlodipine 5 MG Oral Tablet
prescription,5,primary,Sulfamethoxazole 800 MG / Trimethoprim 160 MG Oral Tablet
prescription,5,primary,Amoxicillin 500 MG Oral Capsule
prescription,5,primary,TRAMADOL HCL 50 mg ORAL TABLET
prescription,6,primary,GABAPENTIN 300 mg ORAL CAPSULE
prescription,6,primary,LISINOPRIL 20 mg ORAL TABLET
prescription,6,primary,Prednisone 20 MG Oral Tablet
prescription,6,primary,LISINOPRIL 10 mg ORAL TABLET
prescription,6,primary,Acetaminophen 500 MG Oral Tablet
prescription,6,primary,Metformin hydrochloride 500 MG Oral Tablet
prescription,6,primary,Metformin hydrochloride 1000 MG Oral Tablet
prescription,6,primary,tramadol hydrochloride 50 MG Oral Tablet
prescription,6,primary,HYDROCHLOROTHIAZIDE 25 mg ORAL TABLET
prescription,6,primary,Loratadine 10 MG Oral Tablet
prescription,6,primary,Ibuprofen 600 MG Oral Tablet
prescription,6,primary,Aspirin 81 MG Delayed Release Oral Tablet
prescription,6,primary,Furosemide 20 MG Oral Tablet
prescription,6,primary,Furosemide 40 MG Oral Tablet
prescription,6,primary,Lisinopril 40 MG Oral Tablet
prescription,6,primary,CYCLOBENZAPRINE HYDROCHLORIDE 10 mg ORAL TABLET
prescription,6,primary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,6,primary,gabapentin 100 MG Oral Capsule
prescription,6,primary,Cetirizine Hydrochloride 10 MG Oral Tablet
prescription,6,primary,Ibuprofen 800 MG Oral Tablet
prescription,6,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE, DELAYED RELEASE"
prescription,6,primary,Amlodipine Besylate 10 MG Oral Tablet
prescription,6,primary,Ranitidine 150 MG Oral Tablet
prescription,6,primary,LISINOPRIL 5 mg ORAL TABLET
prescription,6,primary,CEPHALEXIN 500 mg ORAL CAPSULE
prescription,6,primary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,6,primary,"ASPIRIN 81MG TAB,EC"
prescription,6,primary,Naproxen 500 MG Oral Tablet
prescription,6,primary,Amlodipine Besylate 5 MG Oral Tablet
prescription,6,primary,GABAPENTIN 300MG CAP
prescription,6,primary,Ibuprofen 200 MG Oral Tablet
prescription,6,primary,ACETAMINOPHEN 500MG TAB
prescription,6,primary,Acetaminophen 325 MG Oral Tablet
prescription,6,primary,Trazodone Hydrochloride 50 MG Oral Tablet
prescription,6,primary,Baclofen 10 MG Oral Tablet
prescription,6,primary,Amlodipine 10 MG Oral Tablet
prescription,6,primary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,6,primary,Metoprolol Tartrate 50 MG Oral Tablet
prescription,6,primary,Docusate Sodium 100 MG Oral Capsule
prescription,7,primary,GABAPENTIN 300 mg ORAL CAPSULE
prescription,7,primary,Acetaminophen 500 MG Oral Tablet
prescription,7,primary,Prednisone 20 MG Oral Tablet
prescription,7,primary,tramadol hydrochloride 50 MG Oral Tablet
prescription,7,primary,LISINOPRIL 20 mg ORAL TABLET
prescription,7,primary,Metformin Hydrochloride 500 MG Oral Tablet
prescription,7,primary,Lisinopril 10 MG Oral Tablet
prescription,7,primary,Loratadine 10 MG Oral Tablet
prescription,7,primary,Aspirin 81 MG Delayed Release Oral Tablet
prescription,7,primary,Metformin Hydrochloride 1000 MG Oral Tablet
prescription,7,primary,Furosemide 20 MG Oral Tablet
prescription,7,primary,Ibuprofen 600 MG Oral Tablet
prescription,7,primary,LISINOPRIL 40 mg ORAL TABLET
prescription,7,primary,HYDROCHLOROTHIAZIDE 25 mg ORAL TABLET
prescription,7,primary,CYCLOBENZAPRINE HYDROCHLORIDE 10 mg ORAL TABLET
prescription,7,primary,Furosemide 40 MG Oral Tablet
prescription,7,primary,Cetirizine Hydrochloride 10 MG Oral Tablet
prescription,7,primary,Ranitidine 150 MG Oral Tablet
prescription,7,primary,Cephalexin 500 MG Oral Capsule
prescription,7,primary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,7,primary,Amlodipine Besylate 10 MG Oral Tablet
prescription,7,primary,AMLODIPINE BESYLATE 5 mg ORAL TABLET
prescription,7,primary,Lisinopril 5 MG Oral Tablet
prescription,7,primary,"ASPIRIN 81MG TAB,EC"
prescription,7,primary,Ibuprofen 800 MG Oral Tablet
prescription,7,primary,"Omeprazole 20 MG Oral Capsule, Delayed Release"
prescription,7,primary,GABAPENTIN 100 mg ORAL CAPSULE
prescription,7,primary,ACETAMINOPHEN 500MG TAB
prescription,7,primary,METOPROLOL TARTRATE 50 mg ORAL TABLET
prescription,7,primary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,7,primary,Naproxen 500 MG Oral Tablet
prescription,7,primary,GABAPENTIN 300MG CAP
prescription,7,primary,Ibuprofen 200 MG Oral Tablet
prescription,7,primary,Docusate Sodium 100 MG Oral Capsule
prescription,7,primary,Amlodipine 5 MG Oral Tablet
prescription,7,primary,Amlodipine 10 MG Oral Tablet
prescription,7,primary,TRAMADOL HCL 50 mg ORAL TABLET
prescription,7,primary,TRAZODONE HYDROCHLORIDE 50 mg ORAL TABLET
prescription,7,primary,Gabapentin 600 MG Oral Tablet
prescription,8,primary,GABAPENTIN 300 mg ORAL CAPSULE
prescription,8,primary,Acetaminophen 500 MG Oral Tablet
prescription,8,primary,Lisinopril 10 MG Oral Tablet
prescription,8,primary,Lisinopril 20 MG Oral Tablet
prescription,8,primary,PREDNISONE 20 mg ORAL TABLET
prescription,8,primary,Metformin hydrochloride 500 MG Oral Tablet
prescription,8,primary,Loratadine 10 MG Oral Tablet
prescription,8,primary,Gabapentin 100 MG Oral Capsule
prescription,8,primary,Aspirin 81 MG Delayed Release Oral Tablet
prescription,8,primary,Metformin Hydrochloride 1000 MG Oral Tablet
prescription,8,primary,IBUPROFEN 600 mg ORAL TABLET
prescription,8,primary,FUROSEMIDE 40 mg ORAL TABLET
prescription,8,primary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,8,primary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,8,primary,Furosemide 20 MG Oral Tablet
prescription,8,primary,cetirizine hydrochloride 10 MG Oral Tablet
prescription,8,primary,Amlodipine Besylate 10 MG Oral Tablet
prescription,8,primary,HYDROCHLOROTHIAZIDE 25 mg ORAL TABLET
prescription,8,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE, DELAYED RELEASE"
prescription,8,primary,Gabapentin 600 MG Oral Tablet
prescription,8,primary,Amlodipine Besylate 5 MG Oral Tablet
prescription,8,primary,CYCLOBENZAPRINE HYDROCHLORIDE 10 mg ORAL TABLET
prescription,8,primary,Lisinopril 5 MG Oral Tablet
prescription,8,primary,Naproxen 500 MG Oral Tablet
prescription,8,primary,Tramadol Hydrochloride 50 MG Oral Tablet
prescription,8,primary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,8,primary,ACETAMINOPHEN 500MG TAB
prescription,8,primary,Lisinopril 40 MG Oral Tablet
prescription,8,primary,"ASPIRIN 81MG TAB,EC"
prescription,8,primary,Docusate Sodium 100 MG Oral Capsule
prescription,8,primary,Ranitidine 150 MG Oral Tablet
prescription,8,primary,Promethazine Hydrochloride 25 MG Oral Tablet
prescription,8,primary,Amoxicillin 500 MG Oral Capsule
prescription,8,primary,Acetaminophen 325 MG Oral Tablet
prescription,8,primary,Ibuprofen 200 MG Oral Tablet
prescription,8,primary,CEPHALEXIN 500 mg ORAL CAPSULE
prescription,8,primary,Amlodipine 10 MG Oral Tablet
prescription,8,primary,Amlodipine 5 MG Oral Tablet
prescription,8,primary,SULFAMETHOXAZOLE 800 mg / TRIMETHOPRIM 160 mg ORAL TABLET
prescription,9,primary,GABAPENTIN 300 mg ORAL CAPSULE
prescription,9,primary,Acetaminophen 500 MG Oral Tablet
prescription,9,primary,LISINOPRIL 20 mg ORAL TABLET
prescription,9,primary,tramadol hydrochloride 50 MG Oral Tablet
prescription,9,primary,GABAPENTIN 100 mg ORAL CAPSULE
prescription,9,primary,LISINOPRIL 10 mg ORAL TABLET
prescription,9,primary,Furosemide 40 MG Oral Tablet
prescription,9,primary,Omeprazole 20 MG Delayed Release Oral Capsule
prescription,9,primary,Aspirin 81 MG Delayed Release Oral Tablet
prescription,9,primary,LORATADINE 10 mg ORAL TABLET
prescription,9,primary,Cyclobenzaprine hydrochloride 10 MG Oral Tablet
prescription,9,primary,Cephalexin 500 MG Oral Capsule
prescription,9,primary,Prednisone 20 MG Oral Tablet
prescription,9,primary,Amlodipine Besylate 10 MG Oral Tablet
prescription,9,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE, DELAYED RELEASE"
prescription,9,primary,Metformin Hydrochloride 1000 MG Oral Tablet
prescription,9,primary,Acetaminophen 325 MG / Hydrocodone Bitartrate 5 MG Oral Tablet
prescription,9,primary,Lisinopril 40 MG Oral Tablet
prescription,9,primary,Naproxen 500 MG Oral Tablet
prescription,9,primary,Ibuprofen 200 MG Oral Tablet
prescription,9,primary,ACETAMINOPHEN 500MG TAB
prescription,9,primary,Furosemide 20 MG Oral Tablet
prescription,9,primary,cetirizine hydrochloride 10 MG Oral Tablet
prescription,9,primary,"ASPIRIN 81MG TAB,EC"
prescription,9,primary,Amlodipine 10 MG Oral Tablet
prescription,9,primary,Metformin Hydrochloride 500 MG Oral Tablet
prescription,9,primary,HYDROCODONE BITARTRATE 5 mg / ACETAMINOPHEN 325 mg ORAL TABLET
prescription,9,primary,Ranitidine 150 MG Oral Tablet
prescription,9,primary,AMLODIPINE BESYLATE 5 mg ORAL TABLET
prescription,9,primary,Lisinopril 5 MG Oral Tablet
prescription,9,primary,HYDROCHLOROTHIAZIDE 25 mg ORAL TABLET
prescription,9,primary,"OMEPRAZOLE 20 mg ORAL CAPSULE,DELAYED RELEASE (ENTERIC COATED)"
prescription,9,primary,Trazodone Hydrochloride 50 MG Oral Tablet
prescription,9,primary,Metoprolol Tartrate 25 MG Oral Tablet
prescription,9,primary,AMOXICILLIN 500 mg ORAL CAPSULE
prescription,9,primary,Metoprolol Tartrate 50 MG Oral Tablet
prescription,9,primary,ACETAMINOPHEN 325 mg ORAL TABLET
prescription,9,primary,Oxycodone Hydrochloride 5 MG Oral Tablet
prescription,9,primary,gabapentin 600 MG Oral Tablet
prescription,10,primary,GABAPENTIN 300 mg ORAL CAPSULE
prescription,10,primary,Prednisone 20 MG Oral Tablet
prescription,10,primary,Tramadol Hydrochloride 50 MG Oral Tablet
prescription,10,primary,Acetaminophen 500 MG Oral Tablet
prescription,10,primary,Loratadine 10 MG Oral Tablet
prescription,10,primary,Lisinopril 20 MG Oral Tablet
