cost,discharge,quality,quality_care,quality_efficiency,patexp,outcome,provider_id,provider,strokewidth,bubblesize,markme?,state
0.511608212,0.985341255,0.575011742,0.102776015,0.51160587,0.613137664,0.829879451,330024,MOUNT SINAI HOSPITAL,.25px,0,,nyc
0.511784404,0.869776946,0.335808044,0.293273786,0,0.483615,0.556818088,450237,CHRISTUS SANTA ROSA HOSPITAL,.25px,0,,nyc
0.51260467,0.256985358,0.184911133,0.373340694,0,0.083412299,0.556818088,320018,MEMORIAL MEDICAL CENTER INC,.25px,0,,nyc
0.512832977,0.381094421,0.07580689,0.683176638,0.51160587,0.000436714,0.182760524,330027,NASSAU UNIVERSITY MEDICAL CENTER,.25px,0,,nyc
0.513006842,0.670841539,0.27595356,0.54710327,0,0.483615,0.262539036,140233,SAINT ANTHONY MEDICAL CENTER,.25px,0,,nyc
0.513229387,0.070426249,0.844834832,0.973764224,0.705506711,0.297690362,0.745980999,180127,FRANKFORT REGIONAL MEDICAL CENTER,.25px,0,,nyc
0.513602814,0.397137466,0.201827605,0.261978725,0.51160587,0.00613871,0.701848205,50135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,.25px,0,,nyc
0.514103961,0.542439499,0.323555343,0.293273786,0,0.373060538,0.637198111,140239,ROCKFORD MEMORIAL HOSPITAL,.25px,0,,nyc
0.514919459,0.089666367,0.842305189,0.801352988,0,0.68579692,0.847933026,140304,ADVENTIST BOLINGBROOK HOSPITAL,.25px,0,,nyc
0.515012147,0.794604527,0.167978181,0.035991793,0.51160587,0.140844258,0.709132258,330241,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,.25px,0,,nyc
0.515218205,0.727400071,0.881411656,0.965713862,0,0.227115795,0.964016447,140191,INGALLS MEMORIAL HOSPITAL,.25px,0,,nyc
0.518366237,0.050897735,0.962516789,0.874564316,0,0.992040277,0.589340892,100315,VIERA HOSPITAL,.25px,0,,nyc
0.519330233,0.222229547,0.508812551,0.668451974,0,0.042558977,0.896507115,140082,LOUIS A WEISS MEMORIAL HOSPITAL,.25px,0,,nyc
0.519448117,0.961116009,0.392490174,0.086510493,0,0.539061148,0.800018128,100012,LEE MEMORIAL HOSPITAL,.25px,0,,nyc
0.51947432,0.036453226,0.500597391,0.388230156,0.51160587,0.81492407,0.252123829,450148,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE,.25px,0,,nyc
0.520572848,0.21448406,0.069256186,0.005957433,0,0.067023179,0.773312679,330233,BROOKDALE HOSPITAL MEDICAL CENTER,.25px,0,,nyc
0.520650393,0.1871771,0.404050725,0.155643081,0.812658103,0.276382034,0.589340892,330340,SOUTHAMPTON HOSPITAL,.25px,0,,nyc
0.520996289,0.43376373,0.001969331,0.014765864,0,0.140844258,0.049595834,230132,HURLEY MEDICAL CENTER,.25px,0,,nyc
0.521309792,0.51982927,0.650670314,0.630185974,0.51160587,0.373060538,0.800018128,310011,CAPE REGIONAL MEDICAL CENTER INC,.25px,0,,nyc
0.521310296,0.340043342,0.593502031,0.730374667,0,0.297690362,0.800018128,390102,UPMC ST MARGARET,.25px,0,,nyc
0.522268644,0.088026631,0.424032432,0.958174372,0.51160587,0.276382034,0.182760524,100276,BROWARD HEALTH CORAL SPRINGS,.25px,0,,nyc
0.522628641,0.068053164,0.885317359,0.928749763,0.705506711,0.970872026,0.105116141,140064,ST MARY MEDICAL CENTER,.25px,0,,nyc
0.523576418,0.908801015,0.580120467,0.635690213,0,0.81492407,0.360255766,340113,CAROLINAS MEDICAL CENTER/BEHAV HEALTH,.25px,0,,nyc
0.52399095,0.035143086,0.156590668,0.003592587,0,0.227115795,0.876418289,450330,OAKBEND MEDICAL CENTER,.25px,0,,nyc
0.524574158,0.697818904,0.612552632,0.747785532,0,0.875586061,0.221100683,100093,BAPTIST HOSPITAL,.25px,0,,nyc
0.52462192,0.382124406,0.60998179,0.495950099,0.889247781,0.539061148,0.294485049,240132,UNITY HOSPITAL,.25px,0,,nyc
0.525154618,0.487479503,0.659091471,0.781288882,0.51160587,0.68579692,0.431604881,390107,UPMC PASSAVANT,.25px,0,,nyc
0.526586938,0.091973534,0.817165317,0.835968721,0.51160587,0.185562083,0.944603291,50755,SHERMAN OAKS HOSPITAL,.25px,0,,nyc
0.526690034,0.045385256,0.255222024,0.293273786,0,0.204159491,0.665510337,360151,AFFINITY MEDICAL CENTER,.25px,0,,nyc
0.527212228,0.937673552,0.915104523,0.222320185,0.929680869,0.631759791,0.881667092,110029,"NORTHEAST GEORGIA MEDICAL CENTER, INC",.25px,0,,nyc
0.527729357,0.255650497,0.681133148,0.912055768,0.51160587,0.670726181,0.360255766,100086,BROWARD HEALTH NORTH,.25px,0,,nyc
0.528583089,0.313074217,0.791893607,0.955677689,0,0.558119989,0.709132258,320085,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,.25px,0,,nyc
0.528705941,0.441814092,0.736933611,0.781288882,0.889247781,0.539061148,0.304249306,500001,NORTHWEST HOSPITAL,.25px,0,,nyc
0.529867193,0.875190547,0.523158181,0.26568667,0.812658103,0.613137664,0.360255766,160082,IOWA METHODIST MEDICAL CENTER,.25px,0,,nyc
0.530017124,0.932844983,0.093267195,0.021539045,0,0.122123252,0.709132258,100062,MUNROE REGIONAL MEDICAL CENTER,.25px,0,,nyc
0.530398679,0.004663772,0.890492003,0.194856667,0.812658103,0.351266057,0.994133206,330397,INTERFAITH MEDICAL CENTER,.25px,0,,nyc
0.53130229,0.319023409,0.174380567,0.086510493,0.51160587,0.84018754,0.038175361,150109,FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST,.25px,0,,nyc
0.531547095,0.093160076,0.857499526,0.432511268,0,0.94397706,0.773312679,100292,SACRED HEART HOSPITAL ON THE EMERALD COAST,.25px,0,,nyc
0.531663181,0.099933257,0.386944735,0.55666153,0,0.483615,0.465099991,420010,CAROLINA PINES REGIONAL MEDICAL CENTER,.25px,0,,nyc
0.532115782,0.517406745,0.158354002,0.20630186,0,0.351266057,0.393553118,180029,HAZARD ARH REGIONAL MEDICAL CENTER,.25px,0,,nyc
0.532497202,0.506208749,0.815879896,0.55666153,0,0.995006633,0.160999003,250009,MAGNOLIA REGIONAL HEALTH CENTER,.25px,0,,nyc
0.533418618,0.944883447,0.481596229,0.528497623,0,0.862278656,0.182760524,340069,"WAKEMED, RALEIGH CAMPUS",.25px,0,,nyc
0.534301664,0.08604082,0.577096431,0.007234614,0,0.986601956,0.500630351,520208,ST MARYS JANESVILLE HOSPITAL,.25px,0,,nyc
0.534709009,0.55194008,0.964329562,0.574344312,0,0.967098162,0.951013917,140065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,.25px,0,,nyc
0.535000575,0.250063859,0.498125427,0.665872892,0.889247781,0.083412299,0.393553118,500003,SKAGIT VALLEY HOSPITAL,.25px,0,,nyc
0.535707465,0.712164534,0.595916316,0.312909419,0.51160587,0.88661926,0.360255766,450229,HENDRICK MEDICAL CENTER,.25px,0,,nyc
0.536131356,0.022222955,0.089592208,0.648041793,0,0.392267697,0.026252256,440197,TRISTAR SOUTHERN HILLS MEDICAL CENTER,.25px,0,,nyc
0.537583425,0.504915088,0.237341485,0.54710327,0,0.164146637,0.470587751,390050,ALLEGHENY GENERAL HOSPITAL,.25px,0,,nyc
0.537735187,0.346404529,0.073928198,0.113009946,0,0.276382034,0.304249306,330181,GLEN COVE HOSPITAL,.25px,0,,nyc
0.537761115,0.674376447,0.010967279,0.008915549,0,0.054210166,0.393553118,100023,CITRUS MEMORIAL HOSPITAL,.25px,0,,nyc
0.538447946,0.003089955,0.790220911,0.113009946,0.991051491,0.539061148,0.393553118,490092,SOUTHAMPTON MEMORIAL HOSPITAL,.25px,0,,nyc
0.539196271,0.588418026,0.616911528,0.55666153,0,0.613137664,0.709132258,450723,METHODIST CHARLTON MEDICAL CENTER,.25px,0,,nyc
0.53926341,0.477847084,0.819546642,0.590634553,0,0.897858455,0.672201119,140122,HINSDALE HOSPITAL,.25px,0,,nyc
0.53929738,0.056797488,0.768994982,0.441056023,0.929680869,0.483615,0.510740683,120002,MAUI MEMORIAL MEDICAL CENTER,.25px,0,,nyc
0.539591174,0.17826155,0.539835697,0.470093358,0.51160587,0.417201572,0.672201119,150006,INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL,.25px,0,,nyc
0.539647611,0.032827679,0.601980867,0.127833489,0.963002942,0.441805852,0.393553118,420055,CAROLINAS HOSPITAL SYSTEM MARION,.25px,0,,nyc
0.540194943,0.256556884,0.917576487,0.835968721,0,0.969092212,0.589340892,330273,PUTNAM HOSPITAL CENTER,.25px,0,,nyc
0.54066458,0.23426801,0.413172271,0.50273152,0,0.323893178,0.701848205,370032,DEACONESS HOSPITAL,.25px,0,,nyc
0.542625704,0.743097041,0.681133148,0.307718295,0,0.558119989,0.932020995,100265,MEASE COUNTRYSIDE HOSPITAL,.25px,0,,nyc
0.543325541,0.183502114,0.392127619,0.047280428,0,0.68579692,0.745980999,100050,PALM SPRINGS GENERAL HOSPITAL,.25px,0,,nyc
0.543505848,0.630350772,0.519046481,0.792849433,0,0.768929063,0.182760524,450869,DOCTORS HOSPITAL AT RENAISSANCE,.25px,0,,nyc
0.543767776,0.486877992,0.672571914,0.903461573,0,0.511506992,0.665510337,450064,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,.25px,0,,nyc
0.544037495,0.087054326,0.550770017,0.605054342,0.705506711,0.851558573,0.058330106,260193,ST MARY'S MEDICAL CENTER,.25px,0,,nyc
0.544355383,0.024785557,0.088158469,0.169057605,0.705506711,0.461507404,0.028295746,420038,GHS  LAURENS COUNTY MEMORIAL HOSPITAL,.25px,0,,nyc
0.544799109,0.529024975,0.399065598,0.518057696,0,0.122123252,0.800018128,330061,LAWRENCE HOSPITAL CENTER,.25px,0,,nyc
0.545003307,0.872883381,0.269328697,0.612363115,0,0.70561383,0.058330106,140252,NORTHWEST COMMUNITY HOSPITAL 1,.25px,0,,nyc
0.545459237,0.568246801,0.688458401,0.327971918,0.51160587,0.719654584,0.751229802,360134,GOOD SAMARITAN HOSPITAL,.25px,0,,nyc
0.546008175,0.959492753,0.901706479,0.612363115,0,0.70561383,0.964016447,140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,.25px,0,,ri
0.546060694,0.962747505,0.090383237,0.635690213,0,0.140844258,0.107596345,170122,"VIA CHRISTI HOSPITALS WICHITA, INC",.25px,0,,ri
0.546141464,0.153129918,0.20149801,0.113009946,0.929680869,0.558119989,0.008338758,500019,PROVIDENCE CENTRALIA HOSPITAL,.25px,0,,ri
0.548141694,0.213651832,0.606891835,0.58676181,0,0.956032004,0.154885012,390012,LANSDALE HOSPITAL,.25px,0,,ri
0.548347098,0.686414911,0.252972536,0.804525342,0,0.392267697,0.130099455,100135,TALLAHASSEE MEMORIAL HOSPITAL,.25px,0,,ri
0.548632145,0.902538707,0.545447055,0.689101112,0,0.323893178,0.751229802,330055,NEW YORK HOSPITAL MEDICAL CENTER OF QUEENS,.25px,0,,ri
0.549364795,0.469673124,0.324906683,0.279315431,0.51160587,0.768929063,0.130099455,450639,TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD,.25px,0,,ri
0.550426147,0.522194115,0.419896013,0.817577311,0,0.558119989,0.262539036,110164,COLISEUM MEDICAL CENTERS,.25px,0,,ri
0.551009831,0.079597235,0.806511153,0.216684108,0,0.594391938,0.991628283,440176,INDIAN PATH MEDICAL CENTER,.25px,0,,ri
0.551519559,0.103476405,0.773675233,0.962838144,0,0.461507404,0.742446091,420030,COLLETON MEDICAL CENTER,.25px,0,,ri
0.552217035,0.983726238,0.786850801,0.50273152,0,0.373060538,0.980347888,140010,EVANSTON HOSPITAL,.25px,0,,ri
0.552442589,0.43719152,0.583754254,0.382437521,0.889247781,0.392267697,0.431604881,110079,GRADY MEMORIAL HOSPITAL,.25px,0,,ri
0.552532591,0.186435511,0.864453984,0.879409365,0,0.918120319,0.54983067,280081,CHI HEALTH IMMANUEL,.25px,0,,ri
0.552627755,0.216222675,0.537306054,0.287036198,0.889247781,0.594391938,0.242359572,340020,CENTRAL CAROLINA HOSPITAL,.25px,0,,ri
0.554188801,0.573586243,0.861759544,0.763853297,0,0.970872026,0.457420423,450044,UT SOUTHWESTERN UNIVERSITY HOSPITAL ST PAUL,.25px,0,,ri
0.555179264,0.502327766,0.485139378,0.841769596,0,0.483615,0.393553118,450051,METHODIST DALLAS MEDICAL CENTER,.25px,0,,ri
0.55567914,0.273382718,0.366625193,0.85177281,0,0.351266057,0.304249306,440003,SUMNER REGIONAL MEDICAL CENTER,.25px,0,,ri
0.555714525,0.107439787,0.714974333,0.258781651,0,0.786512965,0.847933026,190054,IBERIA GENERAL HOSPITAL AND MEDICAL CENTER,.25px,0,,ri
0.555943193,0.093769827,0.403309136,0.804525342,0,0.68579692,0.130099455,450855,HARLINGEN MEDICAL CENTER,.25px,0,,ri
0.556195424,0.427262465,0.373365414,0.222320185,0,0.539061148,0.637198111,450209,NORTHWEST TEXAS HOSPITAL,.25px,0,,ri
0.556284184,0.081410008,0.439465726,0.475712956,0,0.511506992,0.589340892,140120,PEKIN MEMORIAL HOSPITAL,.25px,0,Y,ri
0.556409118,0.233748898,0.006039832,0.053452097,0,0.122123252,0.08604906,500012,YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER,.25px,0,,ri
0.556600172,0.04168555,0.01774046,0.017386145,0,0.000436714,0.668938127,90008,UNITED MEDICAL CENTER,.25px,0,,ri
0.557225885,0.629699821,0.293232587,0.418206837,0,0.297690362,0.556818088,50382,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,.25px,0,,ri
0.557747271,0.79167937,0.331465627,0.355336558,0.705506711,0.351266057,0.360255766,240038,UNITED HOSPITAL,.25px,0,,ri
0.558441772,0.018811645,0.113248902,0.54710327,0,0.392267697,0.058330106,150047,ST JOSEPH HOSPITAL,.25px,0,,ri
0.559102357,0.995080792,0.30260133,0.327971918,0,0.297690362,0.637198111,180088,NORTON HOSPITAL/NORTON MEDICAL PAVILIONS/KOSAIR CH,.25px,0,,ri
0.559615313,0.075897529,0.60791358,0.928749763,0.51160587,0.768929063,0.105116141,10164,COOSA VALLEY MEDICAL CENTER,.25px,0,,ri
0.560213004,0.562239929,0.776740469,0.893606678,0,0.68579692,0.637198111,280060,CHI HEALTH BERGAN MERCY,.25px,0,,ri
0.560734756,0.861248671,0.487298226,0.804525342,0,0.650365439,0.262539036,100127,MORTON PLANT HOSPITAL,.25px,0,,ri
0.560793643,0.255650497,0.261731528,0.150114122,0.812658103,0.255568098,0.360255766,500026,SWEDISH EDMONDS HOSPITAL,.25px,0,,ri
0.560951728,0.550588739,0.287365793,0.655367045,0.51160587,0.558119989,0.08604906,290019,CARSON TAHOE REGIONAL MEDICAL CENTER,.25px,0,,ri
0.561034062,0.340043342,0.850363791,0.58676181,0,0.862278656,0.824284572,340073,DUKE HEALTH RALEIGH HOSPITAL,.25px,0,,ri
0.56123445,0.796145384,0.49659281,0.222320185,0.963002942,0.483615,0.107596345,500050,PEACEHEALTH SOUTHWEST MEDICAL CENTER,.25px,0,,ri
0.561308683,0.57991447,0.702276679,0.718031328,0,0.938769456,0.262539036,420071,SELF REGIONAL HEALTHCARE,.25px,0,,ri
0.561997123,0.1325467,0.574640947,0.860713079,0,0.613137664,0.393553118,100043,MEASE DUNEDIN HOSPITAL,.25px,0,,ri
0.562253415,0.174553605,0.771417506,0.321783769,0.812658103,0.94397706,0.242359572,260017,PHELPS COUNTY REGIONAL MEDICAL CENTER,.25px,0,,ri
0.56227161,0.411244139,0.134606669,0.275450927,0,0.204159491,0.393553118,30011,CARONDELET ST JOSEPH'S HOSPITAL,.25px,0,,ri
0.562292234,0.330097807,0.306581192,0.965713862,0,0.054210166,0.304249306,100039,BROWARD HEALTH MEDICAL CENTER,.25px,0,,ri
0.56253221,0.650348959,0.448265917,0.801352988,0,0.786512965,0.107596345,140179,LITTLE COMPANY OF MARY HOSPITAL,.25px,0,,ri
0.562708513,0.675736027,0.661110241,0.55666153,0.51160587,0.719654584,0.556818088,50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,.25px,0,,ri
0.563551244,0.142797109,0.970006839,0.874564316,0.51160587,0.975461639,0.773312679,100266,GULF BREEZE HOSPITAL,.25px,0,,ri
0.563984136,0.325013802,0.354405452,0.478366197,0,0.140844258,0.751229802,100063,MORTON PLANT NORTH BAY HOSPITAL,.25px,0,,ri
0.564420153,0.205189476,0.008808431,0.086510493,0.51160587,0.042558977,0.058330106,40041,ST MARYS REGIONAL MEDICAL CENTER,.25px,0,,ri
0.564998201,0.698544013,0.760474947,0.854805086,0,0.798065276,0.510740683,360079,KETTERING MEDICAL CENTER,.25px,0,,ri
0.56546321,0.909608523,0.490058586,0.50273152,0,0.511506992,0.637198111,230046,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,.25px,0,,ri
0.566196682,0.786480006,0.712906123,0.738309671,0,0.81492407,0.510740683,140288,ADVOCATE GOOD SAMARITAN HOSPITAL,.25px,0,,ri
0.566517348,0.377798469,0.016545678,0.730374667,0,0.00613871,0.026252256,330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,.25px,0,,ri
0.568376818,0.321495373,0.692001549,0.248778438,0,0.897858455,0.701848205,450779,TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHWEST F,.25px,0,,ri
0.568383952,0.24179926,0.371181846,0.155643081,0.705506711,0.204159491,0.709132258,50701,SOUTHWEST HEALTHCARE SYSTEM,.25px,0,,ri
0.568889532,0.188808596,0.646476216,0.928749763,0.51160587,0.798065276,0.1215547,100316,PALM BAY HOSPITAL,.25px,0,,ri
0.569141041,0.70149389,0.162358583,0.470093358,0,0.227115795,0.304249306,70028,ST VINCENT'S MEDICAL CENTER,.25px,0,,ri
0.570791564,0.957045509,0.357487166,0.343364013,0.51160587,0.461507404,0.431604881,110035,WELLSTAR KENNESTONE HOSPITAL,.25px,0,,ri
0.571076888,0.296594458,0.428712684,0.928749763,0,0.558119989,0.160999003,390057,GRAND VIEW HOSPITAL,.25px,0,,ri
0.57145323,0.910416032,0.449699656,0.343364013,0,0.719654584,0.470587751,100075,ST JOSEPHS HOSPITAL,.25px,0,,ri
0.571931437,0.01297781,0.601980867,0.127833489,0,0.990829014,0.182760524,250025,MERIT HEALTH GILMORE MEMORIAL,.25px,0,,ri
0.572108335,0.626972421,0.19605145,0.076573199,0.705506711,0.351266057,0.360255766,410009,KENT COUNTY MEMORIAL HOSPITAL,.25px,0,,ri
0.572270053,0.304389384,0.658621798,0.518057696,0,0.88661926,0.470587751,360174,UPPER VALLEY MEDICAL CENTER,.25px,0,,ri
0.572854127,0.20836183,0.722892857,0.307718295,0.51160587,0.851558573,0.637198111,170013,HAYS MEDICAL CENTER,.25px,0,,ri
0.573178751,0.305839603,0.542167583,0.55666153,0,0.511506992,0.672201119,140113,PRESENCE COVENANT MEDICAL CENTER,.25px,0,,ri
0.574152343,0.006254068,0.100369971,0.683176638,0.889247781,0.104399272,0.000222477,50359,TULARE REGIONAL MEDICAL CENTER,.25px,0,,ri
0.574162245,0.262094083,0.98015837,0.605054342,0.812658103,0.851558573,0.964016447,110184,WELLSTAR DOUGLAS HOSPITAL,.25px,0,,ri
0.57417416,0.249618906,0.516928832,0.355336558,0,0.897858455,0.294485049,150158,IU HEALTH WEST HOSPITAL,.25px,0,,ri
0.5745572,0.247229341,0.036791061,0.261978725,0,0.204159491,0.101235158,390119,MOSES TAYLOR HOSPITAL,.25px,0,,ri
0.574706791,0.797702722,0.164657509,0.049257999,0.51160587,0.323893178,0.510740683,110083,PIEDMONT HOSPITAL,.25px,0,,ri
0.574847242,0.848089584,0.676543535,0.590634553,0.51160587,0.579494236,0.709132258,360137,UNIVERSITY HOSPITALS CASE MEDICAL CENTER,.25px,0,,ri
0.576156937,0.934476479,0.06691606,0.738309671,0,0.164146637,0.038175361,100220,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,.25px,0,,ri
0.576352739,0.923187845,0.255732896,0.854805086,0,0.164146637,0.262539036,100019,HOLMES REGIONAL MEDICAL CENTER,.25px,0,,ri
0.57696086,0.4576429,0.028196867,0.635690213,0,0.185562083,0.010168011,420082,AIKEN REGIONAL MEDICAL CENTER,.25px,0,,ri
0.577211187,0.387150732,0.442333204,0.828313873,0,0.297690362,0.510740683,190027,CHRISTUS ST PATRICK HOSPITAL,.25px,0,,ri
0.577316114,0.940063117,0.50749417,0.703026508,0.51160587,0.768929063,0.130099455,450135,TEXAS HEALTH HARRIS METHODIST FORT WORTH,.25px,0,,ri
0.578283602,0.065342243,0.979565099,0.971753694,0.812658103,0.977991282,0.393553118,260113,MISSOURI DELTA MEDICAL CENTER,.25px,0,,ri
0.578356329,0.859691334,0.354405452,0.747785532,0.51160587,0.323893178,0.262539036,290001,RENOWN REGIONAL MEDICAL CENTER,.25px,0,,ri
0.57930802,0.684964692,0.101004441,0.394088711,0,0.104399272,0.304249306,60022,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,.25px,0,,ri
0.580019527,0.953766037,0.66870741,0.590634553,0.812658103,0.483615,0.510740683,240057,ABBOTT NORTHWESTERN HOSPITAL,.25px,0,,ri
0.580028371,0.125839438,0.894199949,0.432511268,0.996209655,0.297690362,0.470587751,380050,SKY LAKES MEDICAL CENTER,.25px,0,,ri
0.580572001,0.31623009,0.048153855,0.194856667,0,0.351266057,0.107596345,330372,FRANKLIN HOSPITAL,.25px,0,,ri
0.581926161,0.015301456,0.91800496,0.412364763,0.998475622,0.255568098,0.500630351,20026,ALASKA NATIVE MEDICAL CENTER,.25px,0,,ri
0.582903394,0.926401397,0.162358583,0.470093358,0,0.511506992,0.107596345,150084,ST VINCENT HOSPITAL & HEALTH SERVICES,.25px,0,,ri
0.582959837,0.311986553,0.845378664,0.992831305,0,0.461507404,0.773312679,300029,PORTSMOUTH REGIONAL HOSPITAL,.25px,0,,ri
0.583123021,0.091248424,0.031253862,0.184482659,0,0.054210166,0.221100683,450697,SOUTHWEST GENERAL HOSPITAL,.25px,0,,ri
0.583584907,0.494211485,0.07034385,0.174916159,0,0.276382034,0.221100683,150173,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,.25px,0,,ri
0.584764199,0.832005339,0.753306252,0.987170508,0.51160587,0.227115795,0.672201119,490048,LEWISGALE MEDICAL CENTER,.25px,0,,ri
0.58560824,0.702977068,0.182175493,0.339548949,0,0.067023179,0.589340892,110143,WELLSTAR COBB HOSPITAL,.25px,0,,ri
0.586845696,0.003782105,0.560402436,0.971753694,0,0.042558977,0.742446091,140095,SAINT ANTHONY HOSPITAL,.25px,0,,ri
0.5869133,0.22133964,0.301085192,0.382437521,0.812658103,0.083412299,0.393553118,140130,NORTHWESTERN LAKE FOREST HOSPITAL,.25px,0,,ri
0.587080088,0.122757723,0.848938292,0.946234787,0.51160587,0.650365439,0.665510337,180124,GREENVIEW REGIONAL HOSPITAL,.25px,0,,ri
0.587196367,0.226621402,0.721113043,0.955677689,0,0.862278656,0.182760524,670023,METHODIST MANSFIELD MEDICAL CENTER,.25px,0,,ri
0.588749819,0.120359918,0.992987863,0.539291865,0.984715024,0.650365439,0.991628283,490060,CLINCH VALLEY MEDICAL CENTER,.25px,0,,ri
0.589614584,0.976433945,0.246174636,0.635690213,0,0.351266057,0.262539036,440048,BAPTIST MEMORIAL HOSPITAL,.25px,0,,ri
0.589752649,0.917667125,0.807640016,0.655367045,0,0.483615,0.944603291,140062,PALOS COMMUNITY HOSPITAL,.25px,0,,ri
0.589782592,0.40229563,0.663623405,0.441056023,0,0.956032004,0.360255766,450771,TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,.25px,0,,ri
0.590286142,0.059903923,0.135191701,0.388230156,0.812658103,0.579494236,0.000222477,500139,CAPITAL MEDICAL CENTER,.25px,0,,ri
0.591022814,0.424312588,0.491533524,0.689101112,0,0.276382034,0.709132258,10016,SHELBY BAPTIST MEDICAL CENTER,.25px,0,,ri
0.592512754,0.795362596,0.492538789,0.668451974,0.51160587,0.067023179,0.773312679,330013,ALBANY MEDICAL CENTER HOSPITAL,.25px,0,,ri
0.592975978,0.818533137,0.596682625,0.590634553,0.812658103,0.768929063,0.107596345,30061,BANNER BOSWELL MEDICAL CENTER,.25px,0,,ri
0.594164721,0.605622894,0.16873625,0.152009295,0,0.539061148,0.304249306,30065,BANNER DESERT MEDICAL CENTER,.25px,0,,ri
0.594828711,0.877489474,0.0040705,0.160191495,0,0.227115795,0.005743196,440063,JOHNSON CITY MEDICAL CENTER,.25px,0,,ri
0.596242402,0.179810648,0.999241931,0.828313873,0.963002942,0.983124727,0.944603291,120022,STRAUB CLINIC AND HOSPITAL,.25px,0,,ri
0.596594427,0.59286756,0.400482857,0.099776699,0,0.351266057,0.896507115,330331,PLAINVIEW HOSPITAL,.25px,0,,ri
0.596857655,0.668130619,0.253714126,0.50273152,0,0.227115795,0.470587751,100001,UF HEALTH JACKSONVILLE,.25px,0,,ri
0.596904506,0.77254637,0.365183214,0.237423884,0.51160587,0.483615,0.510740683,60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,.25px,0,,ri
