Cost,RiskAdjustedCost,Frequency,Minor,Major,PCPID,PCPNPI,memberMonths,ServiceProviderID,InNetwork
205.61,98.73,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1104804665,0
201.94,46.81,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1952369894,1
91.12,48.59,1,Dermatology,Specialist Visits,1003843590,1003843590,835,1972593069,0
89.89,115.05,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1003837832,0
3028.88,4332.43,27,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1003843970,0
187.91,175.56,2,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1932153020,0
0.00,0.00,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1013249911,0
125.33,421.27,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1144454661,0
90.41,20.66,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1164598801,1
233.94,33.32,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1164611687,1
0.00,0.00,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1164614004,0
93.26,17.05,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1174580906,1
221.01,128.08,1,Otolaryngology,Specialist Visits,1003848532,1003848532,1738,1043205974,1
147.35,170.79,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1053448498,0
253.54,1704.44,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1063574903,0
0.00,0.00,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1205932340,0
500.94,369.24,3,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1215926506,1
145.55,101.92,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1235245135,0
154.76,68.45,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1245214311,0
72.70,1221.83,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1265581557,0
128.39,136.93,1,Otolaryngology,Specialist Visits,1003848532,1003848532,1738,1275557738,1
180.28,116.53,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1285806067,0
194.76,251.79,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1073576575,1
1415.64,1364.74,10,Dermatology,Specialist Visits,1003848532,1003848532,1738,1093762734,1
132.70,81.94,2,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1114095304,0
85.39,9.11,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1114933611,0
30.00,252.10,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1154421212,0
563.67,5824.67,3,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1033173612,1
83.67,41.19,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1073690285,0
60.00,56.02,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1093737348,0
205.45,6905.75,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1104923069,0
84.78,45.96,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1134219041,0
0.00,0.00,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1164425476,0
224.56,408.30,2,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1194747121,0
86.02,32.38,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1265611644,0
2845.38,10925.60,19,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1275693186,1
30.00,34.77,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1144380155,0
87.83,21.62,1,Otolaryngology,Specialist Visits,1003848532,1003848532,1738,1154323764,1
0.00,0.00,1,Otolaryngology,Specialist Visits,1003848532,1003848532,1738,1326087412,0
88.69,94.59,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1326368937,0
322.99,298.48,2,Dermatology,Specialist Visits,1003848532,1003848532,1738,1285952846,0
175.00,367.64,2,Dermatology,Specialist Visits,1003848532,1003848532,1738,1295775732,1
286.68,803.01,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1336469170,0
87.12,34.84,1,Plastic Surgery,Specialist Visits,1003848532,1003848532,1738,1184704009,0
73.02,2454.41,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1194807867,0
259.71,545.60,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1215255526,0
84.78,712.42,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1215261128,0
663.92,608.54,7,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1467427484,0
352.97,98.17,2,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1497733158,0
91.79,24.47,1,Otolaryngology,Specialist Visits,1003848532,1003848532,1738,1497913826,1
154.61,472.44,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1508862467,0
310.69,271.73,2,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1275693186,0
118.45,126.33,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1285666222,0
386.57,2764.07,3,Dermatology,Specialist Visits,1003848532,1003848532,1738,1306013339,1
203.13,28.93,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1306859442,0
0.00,0.00,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1336105022,0
89.31,57.15,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1336121581,0
915.60,1095.31,4,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1336334143,1
84.76,79.14,1,Chiropractor,Specialist Visits,1003843590,1003843590,835,1013927359,0
0.00,0.00,1,Chiropractor,Specialist Visits,1003843590,1003843590,835,1023111077,0
0.00,0.00,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1043259575,1
86.42,34.56,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1356334700,0
134.57,25.41,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1356380448,0
1082.15,744.36,6,Otolaryngology,Specialist Visits,1003848532,1003848532,1738,1366433328,1
14.37,30.65,1,Dermatology,Specialist Visits,1003843590,1003843590,835,1093734691,0
0.00,0.00,1,Podiatrist,Specialist Visits,1003843590,1003843590,835,1124133657,0
89.06,142.48,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1144267899,1
100.41,146.74,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1447238076,0
264.17,264.17,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1457318875,0
400.46,223.10,2,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1457339491,0
37.92,24.27,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1467489815,0
30.00,21.01,1,Chiropractor,Specialist Visits,1003843590,1003843590,835,1417068537,0
157.48,375.31,3,Chiropractor,Specialist Visits,1003843590,1003843590,835,1447264056,0
171.07,1437.54,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1558426312,0
531.26,526.56,2,Dermatology,Specialist Visits,1003848532,1003848532,1738,1558597039,0
476.00,350.27,3,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1558598375,0
165.36,165.36,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1568456457,0
100.00,124.49,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1588769509,1
62.63,18.22,1,Plastic Surgery,Specialist Visits,1003848532,1003848532,1738,1598827933,0
90.41,144.64,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1619936341,1
1252.51,1314.20,6,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1639171101,0
668.36,716.41,4,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1598743197,0
0.00,0.00,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1629059738,0
83.31,66.64,1,Otolaryngology,Specialist Visits,1003843590,1003843590,835,1639288749,0
502.98,1381.05,5,Plastic Surgery,Specialist Visits,1003843590,1003843590,835,1649277542,1
591.38,1113.64,5,Dermatology,Specialist Visits,1003843590,1003843590,835,1649375072,1
2206.21,11718.58,23,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1558364182,0
47.18,16.02,1,Chiropractor,Specialist Visits,1003843590,1003843590,835,1700883832,0
2500.42,11064.46,21,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1730163692,1
118.95,69.20,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1740253939,1
80.00,2689.02,1,Chiropractor,Specialist Visits,1003843590,1003843590,835,1740350503,0
7495.09,10392.14,58,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1679512669,1
87.83,21.62,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1619047289,0
570.83,866.66,5,Dermatology,Specialist Visits,1003848532,1003848532,1738,1629003686,0
60.00,106.15,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1639146848,0
72.70,2443.65,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1639183338,0
547.15,641.40,2,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1649259946,0
88.69,70.94,1,Podiatrist,Specialist Visits,1003843590,1003843590,835,1801800701,0
231.86,162.36,1,Otolaryngology,Specialist Visits,1003843590,1003843590,835,1841498482,0
208.82,143.25,1,Orthopaedic Surgery,Specialist Visits,1003843590,1003843590,835,1881676989,1
134.44,134.44,1,Dermatology,Specialist Visits,1003843590,1003843590,835,1891007035,1
84.78,203.55,2,Chiropractor,Specialist Visits,1003843590,1003843590,835,1891709754,0
298.38,323.87,3,Dermatology,Specialist Visits,1003848532,1003848532,1738,1740504539,0
146.54,223.89,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1750318887,0
90.87,96.92,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1811976871,0
479.20,578.25,4,Otolaryngology,Specialist Visits,1003848532,1003848532,1738,1821089921,1
336.96,149.84,2,Dermatology,Specialist Visits,1003848532,1003848532,1738,1821251836,1
279.57,399.74,3,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1841235686,0
91.12,23.32,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1346263381,0
174.24,116.15,2,Dermatology,Specialist Visits,1003848532,1003848532,1738,1346505120,0
612.87,2018.72,4,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1356380448,1
216.87,1214.94,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1689608358,1
14.66,13.40,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1699759415,0
91.39,64.98,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1437204328,0
378.77,242.91,2,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1457335267,0
168.00,71.48,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1518042217,0
819.36,7940.50,5,Plastic Surgery,Specialist Visits,1003848532,1003848532,1738,1760623417,1
91.12,97.18,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1043410038,0
297.70,62.30,2,Plastic Surgery,Specialist Visits,1003848532,1003848532,1738,1053300145,1
202.00,15.57,1,Otolaryngology,Specialist Visits,1003848532,1003848532,1738,1053379073,0
159.38,85.04,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1053384693,0
134.44,92.22,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1093736910,0
128.39,164.32,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1538183298,1
125.33,421.27,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1578673190,0
254.99,262.77,3,Dermatology,Specialist Visits,1003848532,1003848532,1738,1942284591,0
6285.76,12107.41,53,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1952364184,0
84.74,180.76,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1104870476,1
616.60,1379.37,5,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1114928280,0
130.87,29.13,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1144327214,0
134.57,376.94,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1154385078,0
85.41,78.08,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1801148093,0
0.00,0.00,1,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1801829122,0
0.00,0.00,1,Otolaryngology,Specialist Visits,1003848532,1003848532,1738,1801861299,0
89.58,114.65,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1801909841,0
171.07,5750.14,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1821051574,0
87.81,18.13,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1982683769,0
396.84,373.23,4,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1982781258,0
73.02,90.90,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1992043293,0
265.63,1488.10,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1861592404,0
85.36,16.55,1,Otolaryngology,Specialist Visits,1003848532,1003848532,1738,1881652832,1
208.99,878.09,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1619986114,0
118.30,1325.47,1,Dermatology,Specialist Visits,1003854399,1003854399,372,1487811147,1
113.42,953.09,1,Otolaryngology,Specialist Visits,1003854399,1003854399,372,1528285921,1
198.31,1110.96,1,Plastic Surgery,Specialist Visits,1003854399,1003854399,372,1548488992,0
91.12,83.30,1,Otolaryngology,Specialist Visits,1003854399,1003854399,372,1598839821,0
202.40,106.30,1,Orthopaedic Surgery,Specialist Visits,1003854399,1003854399,372,1659443430,1
91.12,23.32,1,Orthopaedic Surgery,Specialist Visits,1003855099,1003855099,333,1003802026,0
72.01,142.38,1,Chiropractor,Specialist Visits,1003855099,1003855099,333,1093804791,0
196.20,6594.83,1,Dermatology,Specialist Visits,1003855099,1003855099,333,1407837818,0
84.23,35.39,1,Chiropractor,Specialist Visits,1003855099,1003855099,333,1457468944,0
644.96,496.58,4,Dermatology,Specialist Visits,1003855099,1003855099,333,1487811147,1
269.17,133.05,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1942408059,0
154.76,75.39,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1952338519,0
93.26,28.42,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1972593069,0
83.44,88.99,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1982633483,0
597.79,1460.95,4,Otolaryngology,Specialist Visits,1003848532,1003848532,1738,1174577928,1
71.55,48.10,1,Chiropractor,Specialist Visits,1003917626,1003917626,141,1134137482,0
337.85,579.49,2,Otolaryngology,Specialist Visits,1003917626,1003917626,141,1194990929,1
165.52,794.80,1,Otolaryngology,Specialist Visits,1003917626,1003917626,141,1770785289,1
265.63,686.81,1,Otolaryngology,Specialist Visits,1003917626,1003917626,141,1861506776,1
164.65,614.93,1,Orthopaedic Surgery,Specialist Visits,1003854399,1003854399,372,1114985348,0
374.77,313.72,2,Otolaryngology,Specialist Visits,1003854399,1003854399,372,1265467310,0
84.70,316.33,1,Chiropractor,Specialist Visits,1003854399,1003854399,372,1336293679,0
84.23,2831.21,1,Chiropractor,Specialist Visits,1003854399,1003854399,372,1588996045,0
0.00,0.00,1,Orthopaedic Surgery,Specialist Visits,1003854399,1003854399,372,1609854215,0
203.71,110.44,1,Dermatology,Specialist Visits,1003854399,1003854399,372,1619067816,0
0.00,0.00,1,Chiropractor,Specialist Visits,1003944604,1003944604,304,1104008069,0
72.01,2420.46,1,Chiropractor,Specialist Visits,1003944604,1003944604,304,1215959499,0
252.54,943.18,1,Orthopaedic Surgery,Specialist Visits,1003944604,1003944604,304,1275723314,0
93.26,25.95,1,Orthopaedic Surgery,Specialist Visits,1003944604,1003944604,304,1538183298,1
205.66,3456.41,1,Podiatrist,Specialist Visits,1003854399,1003854399,372,1831285972,0
84.78,1424.85,1,Chiropractor,Specialist Visits,1003855099,1003855099,333,1063555787,0
72.70,2443.65,1,Chiropractor,Specialist Visits,1003855099,1003855099,333,1255696159,0
84.78,284.97,1,Chiropractor,Specialist Visits,1003855099,1003855099,333,1467578864,0
558.38,813.70,4,Podiatrist,Specialist Visits,1003848532,1003848532,1738,1184714115,0
0.00,0.00,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1194021790,0
182.91,103.95,2,Dermatology,Specialist Visits,1003848532,1003848532,1738,1205916020,0
352.50,1876.01,2,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1215926506,0
172.45,99.94,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1235197872,1
420.00,307.48,2,Otolaryngology,Specialist Visits,1003855099,1003855099,333,1528285921,1
112.48,3780.77,1,Orthopaedic Surgery,Specialist Visits,1003855099,1003855099,333,1659443430,1
210.00,147.06,1,Orthopaedic Surgery,Specialist Visits,1003855099,1003855099,333,1740355148,1
269.17,822.51,1,Dermatology,Specialist Visits,1003944604,1003944604,304,1699903906,0
60.00,134.45,1,Chiropractor,Specialist Visits,1003944604,1003944604,304,1770808461,0
0.00,0.00,1,Orthopaedic Surgery,Specialist Visits,1003944604,1003944604,304,1881676989,1
223.86,228.02,1,Orthopaedic Surgery,Specialist Visits,1003981705,1003981705,736,1013946516,0
72.01,142.38,1,Chiropractor,Specialist Visits,1003981705,1003981705,736,1114095304,0
124.48,1046.03,1,Orthopaedic Surgery,Specialist Visits,1003981705,1003981705,736,1114127685,0
84.23,166.54,1,Chiropractor,Specialist Visits,1003981705,1003981705,736,1225111883,0
225.90,946.77,2,Otolaryngology,Specialist Visits,1003981705,1003981705,736,1235395500,1
145.55,271.80,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1710934500,0
84.23,707.80,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1295094308,0
173.16,485.03,1,Dermatology,Specialist Visits,1003848532,1003848532,1738,1295707123,0
282.98,139.88,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1750671806,0
259.71,311.77,1,Orthopaedic Surgery,Specialist Visits,1003848532,1003848532,1738,1770564577,0
84.70,189.80,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1780615450,0
93.26,66.31,1,Plastic Surgery,Specialist Visits,1003917626,1003917626,141,1174655914,1
260.27,174.97,1,Podiatrist,Specialist Visits,1003917626,1003917626,141,1346494184,0
84.70,237.25,1,Chiropractor,Specialist Visits,1003917626,1003917626,141,1710190152,0
154.76,1300.48,1,Otolaryngology,Specialist Visits,1003917626,1003917626,141,1831114057,0
323.13,310.33,1,Dermatology,Specialist Visits,1003944604,1003944604,304,1083859888,1
335.25,233.50,2,Podiatrist,Specialist Visits,1003981705,1003981705,736,1265404107,0
194.07,1304.65,1,Otolaryngology,Specialist Visits,1003981705,1003981705,736,1407835929,0
338.26,621.05,3,Dermatology,Specialist Visits,1003981705,1003981705,736,1487881371,1
84.78,219.21,1,Chiropractor,Specialist Visits,1003848532,1003848532,1738,1831100593,0
84.84,54.29,1,Otolaryngology,Specialist Visits,1003848532,1003848532,1738,1831114057,0
